max 3.08x + 8.51y + -8.4z
-7.23x + -7.88y + 5.79z <= 971.36
3.09x + -1.31y + -8.19z <= 561.67
-6.85x + 5.17y + -4.79z <= 845.79
-2.84x + -6.89y + 8.61z <= 897.97
-9.94x + -3.21y + -0.48z <= 465.75
-0.66x + -8.76y + 9.81z <= 148.69
-8.0x + -9.99y + -4.62z <= 183.51
-9.29x + 4.05y + 8.19z <= 628.27
-6.22x + 2.05y + -5.75z <= 899.32
-1.85x + 2.41y + -2.17z <= 965.38
3.77x + 8.82y + -2.56z <= 595.29
-7.41x + 5.28y + 6.41z <= 299.69
-3.59x + 3.51y + 3.18z <= 680.51
7.35x + -9.21y + 0.86z <= 335.88
3.34x + 6.16y + 9.57z <= 891.26
8.89x + -7.46y + 5.57z <= 916.19
-5.32x + 3.64y + 8.0z <= 555.55
7.01x + -2.26y + -3.16z <= 341.85
5.54x + 5.1y + 8.05z <= 172.21
-9.12x + -1.69y + -6.76z <= 817.24
-5.84x + 5.92y + 0.24z <= 236.64
-8.37x + -6.42y + 3.79z <= 879.76
-4.87x + -1.64y + 8.0z <= 453.79
-7.38x + -4.8y + 5.57z <= 476.88
3.89x + -7.29y + -0.76z <= 763.58
6.17x + 8.3y + 0.97z <= 760.86
9.72x + -3.01y + -2.15z <= 224.38
2.68x + -3.51y + -6.19z <= 993.01
-0.12x + 7.85y + -9.95z <= 721.21
9.15x + -4.88y + -5.62z <= 928.96
-8.2x + 1.86y + 1.8z <= 771.9
0.59x + -1.75y + -4.56z <= 159.49
-4.68x + 2.37y + -9.26z <= 743.09
0.79x + 0.65y + 7.25z <= 970.92
2.95x + 6.41y + -2.05z <= 185.38
-9.78x + 8.26y + 0.89z <= 679.55
5.46x + -4.28y + 7.44z <= 159.57
8.31x + 4.98y + -2.55z <= 794.76
-4.13x + 4.96y + 3.17z <= 688.28
4.05x + 8.04y + -0.88z <= 773.29
-5.4x + -9.69y + 6.43z <= 512.31
-1.81x + 6.86y + 5.13z <= 820.54
6.03x + 1.84y + -0.71z <= 396.96
2.78x + 2.41y + -3.91z <= 640.34
9.13x + -8.56y + 8.38z <= 327.89
-8.97x + 0.86y + -3.25z <= 940.95
-7.21x + -3.01y + -2.83z <= 665.08
-0.98x + 9.27y + 3.95z <= 572.89
-3.12x + 0.82y + 9.6z <= 225.73
2.21x + 6.73y + 2.19z <= 967.79
6.69x + 9.35y + -5.53z <= 292.2
-6.56x + -0.71y + 3.29z <= 255.07
2.34x + -8.98y + -3.36z <= 503.91
3.72x + -7.74y + 8.24z <= 308.08
7.02x + 5.49y + -4.92z <= 865.01
-0.47x + 4.36y + 1.79z <= 463.98
6.06x + -9.05y + -6.42z <= 836.37
-9.84x + 3.2y + 8.83z <= 394.82
-7.46x + -0.28y + 2.69z <= 735.06
7.6x + -3.64y + 9.5z <= 280.03
-8.8x + 8.01y + 8.37z <= 738.9
-2.42x + 2.86y + -5.77z <= 812.02
-6.04x + 5.64y + 2.35z <= 227.75
8.34x + 5.31y + 4.87z <= 823.38
6.32x + -3.2y + -1.59z <= 214.3
-2.88x + -8.53y + 0.81z <= 761.81
-0.31x + 9.12y + -0.31z <= 501.06
1.43x + 7.33y + -5.82z <= 627.27
3.64x + -8.52y + 5.03z <= 263.11
-3.02x + 8.5y + -0.68z <= 750.48
7.41x + 3.76y + -8.22z <= 824.24
1.71x + 9.34y + -3.04z <= 769.32
2.66x + -5.45y + 6.74z <= 424.74
0.31x + 2.47y + -5.93z <= 161.02
3.06x + 7.25y + 0.29z <= 101.59
-6.47x + -6.96y + 0.04z <= 592.58
-2.74x + 9.24y + 9.66z <= 366.75
7.37x + -7.56y + -8.1z <= 828.35
0.08x + 1.22y + -5.94z <= 968.58
-6.8x + -2.18y + 7.45z <= 204.57
-1.49x + 3.6y + -2.92z <= 621.18
-2.77x + -0.93y + -9.7z <= 894.35
-6.21x + -7.28y + -2.57z <= 636.47
2.31x + -8.88y + 1.56z <= 307.6
-5.32x + -8.66y + 1.24z <= 498.92
0.82x + 1.6y + -8.11z <= 211.33
-9.64x + 5.22y + 8.66z <= 162.7
9.77x + -1.69y + -1.65z <= 243.71
2.7x + 8.69y + 0.67z <= 341.39
7.33x + -1.46y + 3.63z <= 432.49
-0.35x + 3.6y + 2.21z <= 229.33
-2.46x + -0.19y + 4.61z <= 323.73
-5.45x + 8.86y + 1.11z <= 799.53
-5.47x + 2.42y + -4.59z <= 267.04
-0.85x + -9.47y + -4.91z <= 103.2
-2.77x + -8.49y + 0.15z <= 810.12
5.39x + 4.56y + -5.04z <= 888.54
-5.15x + 1.54y + -3.61z <= 864.44
4.5x + 9.04y + -6.04z <= 285.7
8.27x + -5.55y + 7.75z <= 243.14
-3.72x + 5.03y + 6.4z <= 618.63
-2.27x + 5.1y + -0.16z <= 927.68
9.92x + 9.98y + -7.05z <= 506.28
-7.7x + -4.76y + 9.34z <= 789.7
2.37x + -6.65y + 6.47z <= 824.99
-5.4x + -6.91y + -9.36z <= 895.61
-9.06x + -4.92y + 0.61z <= 835.77
-1.44x + 1.72y + 0.45z <= 452.58
3.04x + 6.04y + 5.21z <= 215.78
3.26x + -0.02y + -1.78z <= 868.64
-5.47x + 8.31y + 6.03z <= 599.59
8.0x + 6.14y + 6.44z <= 255.67
-8.08x + -2.01y + 8.76z <= 833.25
-3.43x + 4.19y + -4.62z <= 713.39
-7.97x + -9.2y + 5.3z <= 216.83
9.09x + 5.59y + -0.45z <= 741.29
-6.86x + 5.05y + 4.7z <= 655.45
-3.25x + 4.61y + -8.57z <= 890.94
5.57x + -3.04y + 1.53z <= 451.11
1.26x + -4.33y + 6.1z <= 578.25
-9.6x + 9.19y + 4.82z <= 428.23
-4.41x + -0.28y + 7.62z <= 513.06
-4.32x + -4.96y + 0.82z <= 839.37
0.25x + -3.29y + -9.47z <= 178.67
2.9x + 4.17y + -9.73z <= 759.56
2.13x + 9.95y + -6.72z <= 203.62
6.78x + -3.0y + -1.65z <= 969.63
2.78x + 0.92y + -9.93z <= 236.53
8.54x + 8.93y + -7.76z <= 974.39
-4.39x + 4.53y + 0.71z <= 597.52
6.92x + -6.84y + 7.14z <= 224.86
-8.58x + 5.67y + -3.69z <= 355.53
3.62x + 1.92y + 7.59z <= 456.97
6.52x + 3.41y + -8.77z <= 577.66
-6.69x + 5.32y + -1.05z <= 335.01
4.7x + 9.41y + -8.56z <= 695.47
3.29x + -7.94y + 7.11z <= 920.52
-6.63x + 4.07y + -7.66z <= 163.84
0.66x + -5.79y + -7.67z <= 913.69
-9.84x + 8.84y + 3.81z <= 208.64
-3.25x + -9.53y + -0.49z <= 245.6
8.36x + 3.69y + 4.35z <= 341.45
8.87x + 5.22y + 7.85z <= 515.84
-8.57x + -9.42y + -9.7z <= 436.72
8.99x + -7.11y + -4.62z <= 797.39
7.81x + -4.58y + -4.35z <= 971.54
9.22x + 7.2y + 5.14z <= 674.71
-4.16x + 1.38y + -5.68z <= 961.55
-2.34x + -2.99y + 9.08z <= 820.95
-0.9x + 3.82y + -9.89z <= 663.32
8.54x + -2.21y + -4.31z <= 634.57
0.3x + 4.69y + -4.38z <= 668.89
4.93x + 3.4y + -7.84z <= 836.48
6.55x + -1.69y + 1.37z <= 137.04
-7.94x + -7.18y + -2.05z <= 105.82
3.77x + 4.68y + 9.38z <= 457.15
-8.71x + -9.8y + 3.14z <= 982.96
-1.89x + -3.27y + -0.72z <= 446.06
0.51x + -8.66y + 4.51z <= 574.53
-5.14x + 2.37y + -1.91z <= 217.96
2.95x + -8.25y + -3.41z <= 427.59
5.02x + -3.83y + 0.83z <= 491.87
1.82x + 4.67y + 5.48z <= 863.9
8.86x + 4.86y + -7.88z <= 144.6
-2.39x + 8.99y + 0.84z <= 542.6
-0.31x + 2.79y + -8.56z <= 792.22
9.23x + 1.03y + -6.02z <= 923.69
2.36x + 1.59y + 8.24z <= 888.13
-3.52x + -4.33y + 6.08z <= 445.88
2.1x + -0.41y + 8.42z <= 522.69
8.39x + 8.03y + -6.29z <= 974.59
-4.23x + -4.05y + 8.93z <= 982.69
-3.46x + -3.1y + 9.53z <= 255.08
-6.32x + -9.43y + -9.59z <= 502.31
8.75x + 4.95y + -8.08z <= 748.78
1.82x + -1.52y + -3.72z <= 417.72
-1.2x + -3.57y + 2.03z <= 203.07
-1.48x + 4.17y + 0.7z <= 504.99
-3.99x + -2.11y + 1.63z <= 365.29
9.38x + 2.47y + 5.74z <= 705.17
3.73x + -0.47y + -5.09z <= 940.89
-9.09x + -8.77y + 5.69z <= 752.29
0.09x + -2.03y + 0.09z <= 813.59
2.04x + -8.29y + -7.28z <= 318.08
-1.75x + 4.99y + -4.18z <= 481.35
-6.62x + 7.15y + -9.72z <= 380.66
-3.53x + -4.93y + 5.34z <= 139.14
9.52x + -1.55y + 2.39z <= 828.67
-8.16x + -7.26y + 6.82z <= 909.48
9.38x + -7.39y + 0.69z <= 857.42
-8.58x + -9.56y + 7.68z <= 686.28
-6.07x + 4.01y + 7.11z <= 163.96
-8.42x + -0.15y + 6.4z <= 715.41
0.12x + 6.93y + 7.51z <= 187.91
2.95x + 2.61y + -4.14z <= 223.84
-4.45x + -2.84y + 0.28z <= 323.49
-7.56x + -5.57y + -6.48z <= 582.67
3.89x + -2.51y + 0.11z <= 597.23
3.98x + 0.33y + 5.21z <= 768.3
1.82x + -9.99y + -6.57z <= 561.85
1.31x + 9.99y + 7.05z <= 655.61
-6.06x + -6.63y + 7.28z <= 652.93
-8.84x + 4.64y + 5.56z <= 141.2
8.79x + -8.8y + 4.55z <= 607.14
-1.29x + 2.67y + 4.93z <= 859.28
6.98x + -1.46y + 0.46z <= 499.06
6.04x + 5.97y + -0.38z <= 902.88
-6.72x + -9.45y + 8.88z <= 469.82
0.3x + -9.44y + -2.31z <= 377.91
2.57x + -6.87y + -3.21z <= 739.62
-4.06x + 7.52y + -4.88z <= 450.77
-5.72x + -0.17y + -9.07z <= 254.16
-4.13x + -1.69y + 1.08z <= 696.64
-4.39x + -8.99y + 1.25z <= 615.8
-8.07x + 3.75y + 1.97z <= 777.92
-1.7x + 2.01y + 4.77z <= 590.09
8.44x + 6.59y + -5.77z <= 448.39
2.38x + 3.91y + -8.81z <= 310.02
-2.73x + -2.19y + -0.85z <= 746.02
2.64x + 0.5y + -6.71z <= 774.92
9.07x + 1.0y + -4.71z <= 181.43
-6.98x + -3.4y + 9.35z <= 934.45
-5.32x + -1.85y + 4.49z <= 636.24
-7.42x + 6.93y + 0.36z <= 709.03
4.44x + 7.63y + -5.47z <= 305.82
-4.33x + 5.19y + -8.45z <= 494.21
9.48x + -3.67y + -0.08z <= 561.86
1.93x + -9.74y + 0.82z <= 878.69
-6.09x + -3.6y + -7.83z <= 567.07
-2.83x + -9.08y + -3.69z <= 438.95
-4.7x + -9.12y + -3.27z <= 348.62
1.6x + -9.49y + 4.88z <= 179.18
-7.18x + -0.5y + -3.81z <= 933.95
0.12x + 4.54y + 2.03z <= 975.75
-4.81x + -8.08y + 1.04z <= 959.17
-3.13x + -3.96y + 4.12z <= 175.4
-0.69x + 8.65y + -3.6z <= 684.51
8.27x + -0.38y + -4.06z <= 975.28
-1.65x + 0.54y + -9.29z <= 693.12
1.46x + 6.62y + 3.21z <= 293.46
2.33x + 8.4y + 0.19z <= 121.94
-8.21x + 1.39y + -0.3z <= 374.52
-1.7x + 6.27y + 7.77z <= 398.07
-8.65x + -5.46y + 5.91z <= 383.18
7.04x + 8.84y + 1.42z <= 698.63
-1.77x + 2.14y + 7.68z <= 804.66
-1.49x + -6.54y + 4.54z <= 677.55
4.08x + -8.58y + -4.54z <= 499.58
-3.81x + -2.78y + -5.06z <= 611.47
7.73x + -1.93y + -0.24z <= 442.92
-3.72x + 2.0y + -2.34z <= 688.08
2.19x + 1.49y + 0.93z <= 850.59
-7.67x + 7.36y + 0.13z <= 553.53
-6.8x + -1.61y + 4.76z <= 108.92
-5.05x + 7.72y + 5.96z <= 995.13
5.09x + 4.96y + 5.06z <= 182.27
-6.21x + -0.24y + 9.21z <= 161.41
9.44x + -0.64y + -1.27z <= 848.12
2.45x + 9.05y + 1.9z <= 920.61
-0.92x + 4.87y + -0.48z <= 469.56
2.91x + -0.43y + 8.45z <= 452.91
3.2x + 9.9y + 4.03z <= 731.9
0.69x + -1.98y + 4.6z <= 147.07
-7.52x + 2.27y + -3.69z <= 761.05
4.72x + -0.98y + -6.56z <= 667.94
4.7x + 3.11y + 6.99z <= 295.41
-9.1x + -5.04y + -9.46z <= 473.11
-1.34x + -5.72y + -4.13z <= 694.46
-7.55x + -0.32y + 5.36z <= 588.16
7.76x + 1.33y + -2.4z <= 554.53
-2.4x + 9.14y + -8.97z <= 875.73
-5.47x + 2.97y + 3.66z <= 943.9
-2.14x + -3.19y + -4.84z <= 858.4
-8.17x + -0.21y + 3.79z <= 718.17
8.8x + -0.56y + -5.93z <= 365.38
-2.06x + 1.31y + -7.88z <= 784.12
-1.83x + 4.64y + -8.47z <= 952.44
9.47x + 8.99y + -3.46z <= 741.92
-3.42x + -7.32y + -9.48z <= 845.52
-2.54x + 7.89y + 0.81z <= 105.41
-1.06x + 4.66y + 8.95z <= 136.14
9.72x + -5.63y + 2.72z <= 921.7
-8.95x + -9.83y + 7.94z <= 212.19
-0.15x + -2.29y + -8.27z <= 493.59
-1.8x + 7.25y + -5.56z <= 821.86
-8.77x + 1.44y + -3.31z <= 404.51
-2.8x + 6.3y + -6.5z <= 306.62
3.39x + 9.65y + 6.09z <= 989.37
-4.36x + 7.44y + -1.88z <= 287.83
-2.95x + 8.83y + 5.63z <= 818.06
-3.08x + 4.17y + 9.7z <= 185.07
1.87x + 1.92y + 2.17z <= 357.95
-0.13x + 4.86y + 3.7z <= 883.54
1.71x + 2.38y + 4.73z <= 164.26
0.4x + 7.8y + 4.44z <= 515.94
-3.76x + 6.57y + 0.13z <= 240.46
3.67x + 9.15y + 8.16z <= 800.62
-9.3x + 4.96y + 6.83z <= 468.6
5.64x + -4.57y + -0.43z <= 492.31
3.06x + 0.79y + 4.74z <= 851.16
-7.44x + -5.31y + -5.21z <= 974.87
-1.48x + -5.08y + 6.2z <= 558.77
1.93x + -2.36y + 2.42z <= 823.44
-2.32x + 9.68y + -0.58z <= 431.02
-1.1x + 8.26y + -8.44z <= 671.26
-0.31x + -2.26y + -8.31z <= 172.82
8.09x + -5.26y + 6.8z <= 624.4
-2.7x + 6.63y + -9.0z <= 309.09
-1.39x + 3.56y + 9.26z <= 621.56
7.61x + 1.45y + -0.4z <= 239.01
-0.88x + 8.57y + 8.52z <= 226.25
-2.58x + 4.46y + 4.01z <= 305.8
-5.28x + -7.74y + -1.14z <= 145.26
-8.82x + -2.47y + 9.56z <= 120.6
2.56x + 1.26y + 7.38z <= 929.09
8.34x + 4.45y + 4.49z <= 887.86
-7.35x + 5.44y + 6.8z <= 294.99
-9.7x + 3.75y + -5.93z <= 861.61
6.96x + 2.86y + 9.35z <= 831.33
9.53x + 1.17y + 2.96z <= 431.95
-7.22x + 5.69y + 0.38z <= 836.23
4.85x + 6.45y + -2.72z <= 941.46
7.7x + 0.5y + 7.66z <= 155.12
0.4x + -3.39y + -4.97z <= 983.82
0.53x + -8.02y + 0.62z <= 937.91
3.55x + 8.19y + -4.94z <= 173.76
4.37x + -4.82y + 8.2z <= 459.55
9.42x + -4.52y + -1.35z <= 689.38
4.17x + 7.49y + 8.97z <= 583.28
4.47x + -7.22y + 2.31z <= 458.63
-8.26x + 3.94y + 4.18z <= 273.76
0.67x + 5.14y + -6.54z <= 122.48
-1.63x + -1.49y + -1.53z <= 227.61
-1.42x + 4.42y + -1.54z <= 178.77
-4.71x + -9.04y + -2.14z <= 219.42
2.83x + -0.17y + 7.67z <= 376.75
0.26x + 9.02y + 4.56z <= 841.14
-8.81x + -4.57y + -8.74z <= 885.82
7.12x + 7.04y + -6.69z <= 261.18
-9.4x + -4.53y + -2.82z <= 542.54
-5.39x + 6.51y + -0.9z <= 157.31
0.31x + 6.17y + -6.91z <= 587.53
5.4x + 1.59y + -0.59z <= 519.96
-3.95x + 1.51y + -9.79z <= 963.87
9.1x + -3.26y + -4.79z <= 672.79
1.48x + -5.35y + -9.25z <= 328.21
-1.22x + 1.31y + 8.5z <= 850.07
-2.9x + 8.6y + 2.2z <= 657.1
-7.58x + -4.42y + -0.51z <= 539.74
6.4x + -2.68y + -3.68z <= 275.79
-5.27x + 0.06y + 3.49z <= 451.79
-1.37x + 3.19y + 8.56z <= 514.58
-4.71x + 3.84y + 9.96z <= 956.82
-9.37x + 4.41y + 8.42z <= 408.49
8.32x + 5.18y + 6.75z <= 146.34
-2.93x + -7.81y + 2.47z <= 112.6
-1.11x + -1.77y + 3.8z <= 527.41
-8.99x + -5.23y + -4.11z <= 933.18
3.5x + 7.93y + -8.82z <= 540.77
8.58x + 3.05y + -4.23z <= 961.69
5.98x + -5.6y + -0.36z <= 937.29
6.78x + 8.73y + 2.61z <= 338.69
3.37x + 5.85y + 2.39z <= 540.03
-1.82x + -1.04y + 3.73z <= 505.8
-9.13x + 5.67y + -5.77z <= 739.59
-5.19x + 2.93y + 3.27z <= 973.75
-5.56x + 0.94y + 4.28z <= 691.31
8.25x + -4.4y + -0.9z <= 548.91
-6.72x + 1.08y + 6.86z <= 602.49
8.71x + -0.68y + -6.73z <= 940.44
3.93x + -9.93y + 1.26z <= 670.71
2.27x + -2.23y + 6.05z <= 649.51
0.7x + -6.11y + 2.59z <= 771.5
-4.85x + 9.5y + -5.43z <= 760.35
1.19x + -4.86y + 3.39z <= 867.17
-4.48x + 8.53y + -0.11z <= 538.5
-4.76x + 8.5y + 6.71z <= 361.01
-4.45x + 4.33y + -6.33z <= 249.33
-9.98x + 7.18y + -6.57z <= 381.07
-1.31x + -8.38y + 3.64z <= 112.16
-2.24x + 2.54y + -8.89z <= 746.94
1.74x + -1.62y + 6.25z <= 350.7
-4.44x + 5.13y + -1.04z <= 977.19
6.2x + 2.22y + -2.8z <= 670.2
3.31x + 5.6y + -2.87z <= 696.82
0.24x + 9.43y + 1.34z <= 924.75
-5.46x + -1.59y + 7.51z <= 511.46
-1.25x + 0.33y + -5.66z <= 752.3
-9.1x + 1.38y + 7.68z <= 699.72
7.14x + 2.54y + 3.89z <= 814.56
-5.95x + -1.92y + -2.81z <= 506.75
-3.72x + -2.85y + 7.39z <= 560.89
7.47x + -6.01y + -6.11z <= 800.9
5.45x + -6.53y + -4.54z <= 784.06
-0.83x + 9.71y + 5.42z <= 816.88
-7.53x + 5.66y + 9.81z <= 556.29
6.07x + -8.96y + -5.88z <= 977.7
6.72x + 9.53y + -5.7z <= 331.32
7.12x + -1.39y + 2.91z <= 377.65
0.51x + 8.85y + 2.83z <= 883.64
-6.03x + -6.3y + -3.2z <= 913.65
7.81x + 2.28y + 0.95z <= 267.43
2.29x + 4.79y + 5.31z <= 238.92
-6.66x + -5.35y + -5.97z <= 428.64
-5.84x + 8.68y + -4.37z <= 265.03
-9.83x + 9.19y + 3.47z <= 295.25
-0.24x + -3.29y + -2.7z <= 230.82
4.7x + 2.78y + 6.88z <= 796.08
-9.39x + -3.85y + 6.87z <= 701.48
-6.26x + 9.62y + 2.32z <= 827.6
-7.15x + 4.07y + -2.33z <= 673.02
3.38x + 9.38y + 7.89z <= 268.41
9.83x + 6.35y + -1.2z <= 135.24
4.49x + -6.54y + -5.22z <= 398.24
1.79x + -8.46y + 2.32z <= 550.93
-9.37x + -9.07y + -4.84z <= 576.74
-5.69x + -0.47y + -6.18z <= 664.68
-2.43x + -5.87y + -6.35z <= 551.8
-6.55x + -7.28y + 2.33z <= 662.09
-2.83x + -8.23y + 8.67z <= 233.07
7.63x + 2.5y + -3.48z <= 279.66
7.77x + -9.18y + -5.74z <= 672.03
-8.5x + 2.05y + -0.19z <= 131.3
-4.79x + -0.62y + -1.71z <= 515.9
2.06x + 9.65y + 2.9z <= 714.99
-1.98x + -6.41y + 7.2z <= 802.9
1.4x + 0.77y + 8.75z <= 179.78
4.13x + -9.06y + -0.56z <= 202.28
1.39x + -6.49y + -9.89z <= 549.38
4.91x + -7.87y + 1.43z <= 756.99
6.88x + 1.77y + 6.41z <= 803.27
7.26x + -7.91y + 2.3z <= 522.62
9.99x + 4.31y + 5.01z <= 593.29
-9.05x + -7.62y + -8.82z <= 580.33
-5.99x + 6.88y + 3.2z <= 634.04
6.98x + -7.65y + 9.21z <= 450.34
-3.29x + -9.84y + 1.53z <= 175.9
-4.16x + 9.05y + -8.33z <= 170.51
8.87x + -8.51y + -7.8z <= 401.13
-6.29x + -4.07y + -4.49z <= 522.94
0.93x + 6.98y + 2.32z <= 623.55
9.4x + -2.82y + -9.98z <= 150.68
-8.35x + 6.54y + 2.75z <= 133.64
-9.23x + 4.64y + 8.32z <= 818.76
3.87x + 3.94y + -0.63z <= 152.8
5.17x + -2.71y + -4.97z <= 310.66
8.24x + -5.59y + -3.23z <= 948.22
2.14x + -2.6y + -4.25z <= 104.68
1.23x + 4.08y + -2.67z <= 489.01
-5.41x + 0.9y + 3.3z <= 995.52
-2.6x + 9.24y + 4.96z <= 505.35
-6.89x + 7.97y + 8.4z <= 625.27
-5.46x + -8.22y + -0.98z <= 808.83
8.21x + -6.43y + 8.43z <= 200.34
0.41x + 9.25y + 3.23z <= 255.42
4.73x + -4.41y + 3.81z <= 116.28
-5.69x + 6.41y + 3.23z <= 525.35
2.78x + -1.11y + -9.52z <= 105.74
-3.45x + 9.08y + -1.48z <= 872.87
-2.74x + 9.15y + -7.57z <= 631.42
8.17x + -3.04y + -0.99z <= 387.42
5.96x + 2.67y + -8.56z <= 835.29
-7.47x + -5.34y + 2.97z <= 543.23
-0.99x + -1.28y + -8.6z <= 283.1
-6.31x + -1.75y + 0.51z <= 239.11
1.03x + -1.55y + 6.88z <= 674.44
-9.59x + -6.12y + -8.89z <= 438.51
-5.05x + -5.25y + -7.54z <= 369.73
5.42x + 8.64y + 7.22z <= 673.75
3.93x + -9.25y + 4.66z <= 517.85
-8.71x + 3.26y + -6.51z <= 112.42
-2.98x + -9.71y + 7.86z <= 996.07
1.76x + -5.81y + -6.34z <= 145.97
-8.18x + -5.38y + 5.19z <= 768.41
-9.5x + 9.19y + 2.71z <= 132.9
-3.68x + 0.3y + -5.47z <= 510.39
-6.04x + 3.84y + -4.74z <= 432.24
6.47x + 1.68y + -4.61z <= 779.13
-1.24x + -4.56y + 0.11z <= 466.17
-0.56x + 5.4y + -5.34z <= 627.53
-1.68x + -1.2y + -4.74z <= 565.86
-0.93x + 0.44y + -9.86z <= 783.83
-5.37x + -2.39y + 1.16z <= 680.57
0.87x + 1.73y + -8.75z <= 849.92
5.23x + -0.28y + -8.59z <= 909.09
-0.55x + 6.0y + 2.16z <= 406.18
7.94x + -5.33y + 9.31z <= 794.19
-6.0x + -1.53y + -3.94z <= 464.14
6.67x + -0.26y + -7.36z <= 557.61
3.53x + -3.81y + -3.66z <= 612.76
0.97x + -7.75y + 2.26z <= 372.61
-4.74x + -3.52y + 1.92z <= 789.81
8.76x + 7.26y + 2.31z <= 308.07
1.45x + 1.95y + -8.02z <= 572.36
1.28x + 0.52y + -7.63z <= 312.5
4.53x + 3.89y + -5.57z <= 673.83
-2.09x + -9.2y + -6.92z <= 509.96
1.88x + -5.95y + -3.38z <= 354.15
8.17x + 6.32y + -4.05z <= 978.24
9.52x + 8.18y + -5.92z <= 468.24
2.18x + -0.25y + -1.17z <= 816.66
9.71x + 4.76y + 2.7z <= 213.45
5.83x + 7.06y + -7.56z <= 919.42
8.89x + 8.72y + 2.49z <= 279.52
-1.39x + 3.4y + 1.61z <= 363.52
9.2x + -8.96y + -8.05z <= 756.57
2.32x + 1.9y + 6.75z <= 587.92
-1.98x + -5.86y + -3.47z <= 408.57
-0.72x + 4.44y + -0.35z <= 877.51
2.0x + -4.46y + 7.56z <= 329.55
6.9x + -9.26y + -8.51z <= 168.85
-1.62x + 2.97y + -2.81z <= 599.61
-6.68x + 8.17y + -4.32z <= 976.59
-7.06x + -6.37y + 4.31z <= 610.9
-0.96x + -8.77y + -9.61z <= 871.28
-6.42x + -8.79y + 5.29z <= 461.76
-5.91x + 7.86y + 6.63z <= 192.0
-4.02x + -9.49y + -9.08z <= 453.61
-8.29x + 8.05y + 7.67z <= 590.45
-4.78x + -9.38y + 0.42z <= 629.12
8.37x + 8.63y + -9.27z <= 898.15
8.68x + -7.54y + 4.56z <= 273.28
-5.34x + -8.43y + -0.82z <= 136.11
1.02x + 4.14y + -9.54z <= 224.84
-6.08x + -1.89y + 5.54z <= 118.09
2.66x + -7.5y + 8.17z <= 533.85
2.18x + -2.81y + 1.76z <= 206.61
6.71x + 8.01y + -9.92z <= 920.4
7.98x + 0.96y + 9.96z <= 509.37
6.31x + 2.77y + -2.57z <= 916.32
2.0x + 9.95y + -1.02z <= 649.25
0.09x + -1.16y + -8.83z <= 988.02
-6.35x + 1.34y + 7.71z <= 301.24
7.34x + 9.7y + -3.83z <= 549.75
2.73x + 2.6y + -5.47z <= 912.48
-5.42x + -5.15y + -1.17z <= 550.07
-7.1x + 1.04y + -6.45z <= 274.39
8.97x + 1.22y + -5.03z <= 166.71
-4.09x + 7.97y + -3.69z <= 890.78
-1.89x + -6.72y + 7.79z <= 838.92
9.06x + 8.86y + 3.12z <= 144.81
-2.85x + 5.05y + 0.92z <= 146.35
-0.42x + -1.15y + -3.16z <= 765.19
-5.1x + -0.16y + -0.1z <= 498.74
9.48x + 5.6y + 1.34z <= 439.52
2.43x + -7.25y + 1.14z <= 335.91
0.62x + 4.68y + -4.35z <= 209.56
9.35x + -3.73y + -9.52z <= 961.55
9.92x + -8.32y + 8.94z <= 452.42
4.21x + 0.27y + 0.39z <= 387.12
7.56x + 5.86y + 0.21z <= 977.04
5.39x + 4.9y + 9.92z <= 230.27
-9.44x + 3.57y + -5.76z <= 800.51
-8.55x + -1.08y + -8.04z <= 175.0
-0.93x + -3.11y + -9.43z <= 490.76
0.25x + -7.79y + -8.92z <= 191.21
-8.36x + -1.31y + -6.21z <= 561.12
-8.92x + -5.56y + -3.34z <= 653.84
6.15x + -9.34y + -9.76z <= 416.05
1.64x + 4.04y + 7.92z <= 390.85
4.34x + 1.99y + 7.82z <= 897.46
7.49x + 5.12y + -2.69z <= 299.76
3.21x + -4.07y + -0.9z <= 148.84
6.25x + 0.82y + -7.92z <= 290.85
-5.0x + 9.22y + -5.62z <= 231.98
7.87x + -8.69y + 2.85z <= 959.25
-8.75x + 8.28y + 2.63z <= 146.38
9.37x + 2.79y + 0.17z <= 135.62
-9.42x + 1.25y + -2.46z <= 125.14
-4.43x + 2.26y + -2.25z <= 509.04
4.85x + 5.59y + 5.08z <= 506.47
0.48x + 8.36y + -0.5z <= 424.57
-1.54x + -3.86y + -2.29z <= 916.9
1.4x + -8.71y + 2.83z <= 378.24
-6.98x + 0.46y + -1.64z <= 235.82
0.68x + -4.49y + 3.14z <= 321.02
-0.33x + -5.3y + 3.44z <= 821.02
9.83x + 2.83y + -7.33z <= 388.46
-5.79x + 7.93y + -0.69z <= 498.04
-8.58x + -0.05y + 1.36z <= 403.52
-1.27x + 2.63y + -9.6z <= 429.63
-9.61x + -4.46y + 7.63z <= 838.14
3.71x + -3.68y + 9.71z <= 562.42
5.82x + 0.04y + -2.33z <= 123.32
8.82x + -7.34y + 3.97z <= 736.67
-6.44x + 6.88y + 8.53z <= 292.61
2.22x + 6.58y + 4.66z <= 106.48
4.1x + 7.3y + -0.56z <= 843.49
6.22x + 7.72y + 1.44z <= 297.99
9.87x + -7.7y + -2.5z <= 481.37
-8.48x + 2.94y + 7.45z <= 727.56
-5.29x + -1.29y + -9.9z <= 905.7
3.48x + -5.49y + -5.49z <= 966.06
-8.56x + -9.39y + 5.89z <= 513.59
