max -7.21x + 3.78y + -1.01z
4.06x + -0.02y + -3.82z <= 460.36
-0.93x + -6.82y + -6.63z <= 473.56
6.39x + -7.33y + 5.87z <= 895.16
-5.7x + 7.32y + -9.65z <= 602.26
5.85x + 0.27y + 1.19z <= 766.87
-9.89x + -8.95y + -7.75z <= 774.54
4.16x + 1.5y + 2.46z <= 629.65
-1.78x + 0.34y + 9.98z <= 139.76
1.03x + 5.2y + -0.03z <= 952.6
-0.48x + 7.59y + 6.4z <= 394.46
2.53x + 4.06y + -7.69z <= 276.15
3.0x + 5.28y + 7.63z <= 955.61
8.01x + -5.89y + -4.75z <= 130.06
-1.33x + 0.42y + -9.54z <= 897.65
-2.94x + 7.91y + -8.52z <= 758.46
5.13x + 3.51y + -8.06z <= 918.82
-4.47x + 2.13y + -1.3z <= 173.07
-7.28x + 3.49y + -3.34z <= 721.99
7.86x + -1.83y + -7.79z <= 425.89
-7.9x + 7.13y + -5.96z <= 880.63
-8.82x + -3.99y + 6.99z <= 532.49
3.61x + 2.19y + 0.54z <= 211.61
2.77x + -8.88y + 8.87z <= 941.12
-6.12x + 0.86y + -9.89z <= 558.93
-1.66x + -2.81y + -8.63z <= 616.3
-5.54x + 6.78y + 3.92z <= 598.26
-0.73x + 1.11y + -0.12z <= 687.97
-7.57x + -8.63y + 8.1z <= 960.0
-3.63x + -9.01y + -2.17z <= 275.63
-2.97x + 9.73y + -3.46z <= 379.75
2.64x + -5.36y + 8.51z <= 451.93
-1.52x + -8.02y + 3.19z <= 982.0
6.58x + 2.81y + -6.48z <= 252.33
-9.97x + 0.87y + 2.85z <= 896.45
-1.84x + 8.82y + 9.66z <= 804.7
-0.51x + 8.1y + -9.19z <= 926.05
-1.57x + -3.21y + -9.87z <= 801.92
-9.69x + 9.12y + 9.68z <= 685.18
-2.21x + 7.91y + -9.86z <= 162.75
-6.89x + -4.45y + -8.36z <= 958.41
-2.16x + 4.67y + 9.21z <= 729.15
9.74x + -7.47y + -9.92z <= 202.31
5.94x + 1.0y + -0.23z <= 372.39
2.3x + 8.08y + -0.79z <= 435.18
2.33x + 3.92y + 4.23z <= 415.91
-4.27x + -8.19y + -2.15z <= 766.24
-4.51x + 1.33y + -9.19z <= 959.31
-6.0x + -8.39y + 3.54z <= 510.02
5.2x + 2.52y + -6.05z <= 286.94
8.71x + 5.32y + 5.8z <= 707.36
-9.52x + -4.92y + 7.7z <= 335.38
-4.33x + 9.09y + -5.75z <= 602.89
6.59x + 5.25y + -2.23z <= 949.63
-7.44x + -1.82y + -2.32z <= 549.92
-1.87x + -5.07y + -4.62z <= 162.31
2.38x + 3.43y + -0.93z <= 363.18
3.89x + 2.39y + -3.69z <= 591.88
2.9x + 3.21y + 1.93z <= 426.49
-2.86x + -1.33y + -7.65z <= 851.23
-3.2x + 1.3y + 7.6z <= 150.88
-1.04x + 9.3y + 0.68z <= 217.37
6.96x + -7.79y + 6.32z <= 922.96
6.94x + -3.35y + 4.33z <= 362.88
-1.77x + 7.71y + -8.36z <= 902.66
8.74x + -3.78y + 8.87z <= 182.61
-4.89x + -9.32y + -4.75z <= 378.3
-3.99x + -0.11y + 0.17z <= 150.52
-6.48x + 9.06y + 8.84z <= 274.14
-4.93x + -5.83y + -6.5z <= 203.15
2.93x + 0.79y + -4.57z <= 329.75
-2.72x + -6.37y + -7.43z <= 100.73
7.86x + -2.04y + -0.72z <= 217.15
6.25x + 0.69y + 7.01z <= 662.72
-6.4x + 7.02y + 4.59z <= 718.03
-8.77x + 9.21y + 4.06z <= 804.84
6.04x + -2.79y + -5.86z <= 210.67
2.27x + -2.74y + -4.41z <= 285.24
-6.68x + 4.46y + 8.34z <= 364.24
0.79x + -4.35y + -8.3z <= 151.68
8.11x + 9.53y + -5.74z <= 573.76
7.65x + -3.09y + 2.55z <= 748.42
5.78x + 2.48y + 4.22z <= 189.21
1.53x + 2.61y + -9.53z <= 410.26
7.67x + 5.8y + 9.3z <= 815.3
-7.33x + 2.32y + -8.54z <= 938.69
-5.49x + -6.49y + -6.77z <= 468.87
-3.09x + -1.25y + 1.8z <= 574.24
-8.21x + -7.52y + -2.34z <= 627.28
7.99x + 6.73y + 2.23z <= 604.77
8.76x + -1.97y + 0.65z <= 664.1
-2.87x + 3.71y + -7.07z <= 312.56
-7.52x + 3.68y + -4.51z <= 899.88
6.48x + -2.12y + -4.24z <= 989.0
-2.86x + 5.19y + -4.01z <= 483.9
-5.07x + 9.35y + -5.9z <= 373.51
-2.08x + 3.4y + 4.94z <= 135.38
-2.82x + 4.92y + -9.21z <= 437.63
-5.04x + 0.34y + -2.43z <= 991.34
1.49x + -4.34y + 7.39z <= 876.61
6.47x + 1.71y + 7.99z <= 531.38
-9.05x + -8.27y + -7.57z <= 566.71
-7.98x + -2.34y + -3.0z <= 110.08
-1.41x + -0.29y + 6.74z <= 402.42
-4.62x + -5.7y + -0.57z <= 963.15
7.61x + -4.64y + -4.77z <= 531.68
-3.05x + -2.81y + 7.61z <= 110.61
6.32x + 5.43y + -0.78z <= 579.69
-6.92x + 2.04y + -3.2z <= 437.36
-7.17x + -3.94y + 9.12z <= 218.72
-4.66x + 0.93y + 6.65z <= 677.64
-2.05x + 6.7y + 2.76z <= 284.3
4.19x + -8.69y + 9.71z <= 632.63
3.81x + 6.61y + -2.2z <= 983.05
-0.6x + -3.87y + 1.44z <= 145.42
8.05x + -3.48y + -3.38z <= 167.0
-1.26x + -3.33y + -5.04z <= 993.39
-4.69x + 2.7y + -6.27z <= 219.17
2.79x + -0.47y + 1.55z <= 609.63
-6.46x + 1.94y + 3.67z <= 751.69
-8.47x + 8.65y + 6.53z <= 690.57
6.93x + -1.99y + -1.5z <= 982.81
4.89x + 6.29y + -0.4z <= 446.84
-2.23x + 5.5y + 4.12z <= 109.55
-1.44x + 9.27y + -8.16z <= 777.12
0.02x + -6.6y + 8.78z <= 589.74
-0.11x + -2.57y + 2.9z <= 560.99
7.78x + 5.63y + -7.74z <= 870.47
-1.64x + 6.9y + -4.59z <= 223.53
-3.37x + 4.72y + 3.98z <= 546.46
2.39x + 5.33y + -4.52z <= 858.36
7.87x + 6.59y + 8.41z <= 711.88
9.71x + 8.86y + -7.69z <= 968.38
-5.04x + 5.58y + -3.39z <= 204.2
-9.96x + -1.49y + 8.08z <= 695.45
5.79x + -9.52y + 6.77z <= 258.56
-5.5x + 5.74y + 3.01z <= 757.47
-2.35x + 5.36y + -6.15z <= 928.15
8.49x + 4.67y + 1.37z <= 866.08
0.4x + -6.25y + 4.06z <= 749.47
-0.86x + 4.78y + -9.69z <= 321.16
-0.88x + -9.04y + -3.01z <= 250.35
-7.93x + -0.01y + -8.19z <= 760.36
-8.98x + -4.53y + -4.6z <= 673.09
-1.33x + -5.88y + -7.1z <= 652.99
-0.92x + 0.55y + -4.16z <= 963.7
3.97x + -5.68y + 2.94z <= 816.11
0.59x + -2.12y + 7.33z <= 994.0
9.33x + 4.06y + -8.46z <= 531.31
3.66x + -7.52y + -4.26z <= 636.2
0.28x + -2.27y + 0.42z <= 614.82
-0.66x + 7.6y + -7.54z <= 827.16
-0.43x + 2.34y + -9.66z <= 549.63
-6.2x + -6.49y + 5.94z <= 466.77
6.72x + -4.75y + -0.32z <= 268.7
-3.58x + 7.48y + 8.53z <= 335.4
-4.1x + -1.51y + -8.41z <= 186.0
7.55x + -5.59y + 9.47z <= 789.9
-8.1x + -9.27y + -1.62z <= 120.66
4.71x + 1.08y + -9.25z <= 475.37
2.29x + 6.02y + -3.86z <= 240.12
4.57x + -8.22y + 3.9z <= 642.26
8.82x + -1.0y + -0.02z <= 459.06
-7.74x + 3.17y + -4.91z <= 103.76
6.11x + -9.29y + 1.64z <= 209.43
2.73x + -3.79y + -5.49z <= 292.7
-5.8x + 0.31y + -7.65z <= 552.97
-2.27x + -8.69y + -7.85z <= 215.42
-2.9x + 9.38y + -6.4z <= 553.75
-9.68x + 4.24y + -4.68z <= 122.66
7.94x + 3.1y + -2.82z <= 302.66
-1.35x + -5.17y + -4.96z <= 577.95
8.0x + -6.79y + -6.58z <= 859.24
6.39x + -4.02y + -8.39z <= 241.12
-8.13x + 1.76y + -0.4z <= 313.34
1.4x + 9.67y + -0.03z <= 115.94
-6.82x + 8.8y + 2.07z <= 243.54
-2.71x + 0.39y + 6.03z <= 551.98
6.54x + 2.52y + -0.86z <= 766.4
-4.85x + -3.52y + 8.31z <= 238.26
8.72x + -1.92y + 8.45z <= 138.3
5.63x + -1.75y + 6.36z <= 403.43
8.66x + 9.5y + -5.52z <= 426.96
5.97x + -7.6y + 4.34z <= 223.77
-9.52x + 1.97y + -5.05z <= 187.94
-1.83x + -2.4y + 0.46z <= 253.05
9.79x + -4.18y + 0.84z <= 242.06
-2.56x + -8.94y + -2.39z <= 425.63
4.79x + 6.17y + 2.92z <= 269.25
-5.39x + -5.36y + -0.22z <= 125.01
-6.98x + 7.47y + -4.46z <= 552.43
5.99x + -6.91y + -5.19z <= 180.86
0.98x + -7.94y + 2.36z <= 943.78
3.29x + 0.66y + 2.73z <= 952.97
8.95x + 7.36y + -7.31z <= 528.27
-9.05x + 3.85y + -5.11z <= 307.89
0.1x + 4.26y + -1.45z <= 316.95
-6.95x + -4.99y + 8.67z <= 776.38
1.31x + 4.23y + -2.91z <= 401.52
5.32x + 4.33y + 0.22z <= 816.31
2.33x + 7.56y + 5.86z <= 320.71
4.77x + -8.51y + 6.24z <= 311.51
-1.45x + -8.72y + -4.58z <= 419.91
-3.39x + -8.13y + 2.38z <= 214.97
-8.29x + -9.95y + -4.94z <= 319.9
9.5x + 0.69y + 3.51z <= 295.96
-9.77x + -8.58y + -3.57z <= 691.07
-6.26x + -5.08y + 8.13z <= 810.36
5.82x + -5.71y + -3.75z <= 593.5
-8.87x + 8.67y + 6.84z <= 446.66
4.66x + 7.16y + 5.64z <= 399.7
-0.35x + 3.7y + 6.39z <= 517.4
-2.31x + -8.07y + -8.81z <= 120.01
-2.21x + -3.42y + 8.66z <= 593.77
-2.86x + 5.64y + 7.92z <= 620.28
1.94x + 1.82y + 6.17z <= 678.55
-5.84x + -1.94y + 9.49z <= 877.82
-9.54x + -6.61y + -7.43z <= 152.89
9.2x + -4.15y + 2.01z <= 537.23
3.53x + 9.32y + 2.22z <= 904.57
-6.21x + 6.2y + 4.2z <= 411.52
3.84x + 2.86y + -8.39z <= 993.71
-6.15x + -2.94y + -6.66z <= 961.43
-5.37x + -5.75y + -3.87z <= 609.12
9.63x + 0.49y + 2.7z <= 652.57
-3.28x + 5.47y + -7.3z <= 961.28
8.13x + 0.28y + -4.52z <= 407.54
1.91x + -3.09y + -4.57z <= 164.71
1.8x + 2.53y + 8.84z <= 103.9
-8.65x + -7.15y + 4.08z <= 575.89
3.04x + -1.04y + -6.94z <= 507.34
2.54x + -1.32y + -2.78z <= 762.2
5.49x + 4.28y + -2.16z <= 610.34
4.69x + 3.04y + -4.73z <= 449.32
-4.18x + 1.54y + -2.98z <= 222.72
7.13x + -0.78y + -3.65z <= 124.87
9.21x + 6.18y + -6.05z <= 225.86
2.01x + -7.89y + 7.46z <= 898.75
-1.28x + -0.23y + -1.63z <= 640.15
9.86x + -8.88y + 1.31z <= 144.46
6.71x + -9.62y + -5.95z <= 330.29
0.44x + -3.88y + 8.26z <= 425.63
-6.09x + -8.69y + 7.82z <= 548.95
-10.0x + 2.81y + -8.03z <= 913.29
4.61x + -9.41y + -5.45z <= 935.95
-6.06x + 9.23y + 0.14z <= 505.87
7.53x + -7.54y + 7.0z <= 905.73
6.88x + 4.48y + 7.67z <= 564.79
9.88x + -7.74y + -7.07z <= 876.72
-9.85x + -6.98y + -4.92z <= 827.62
0.76x + 0.31y + -6.06z <= 749.1
8.49x + 5.29y + -7.66z <= 258.21
0.24x + 4.57y + 7.19z <= 422.06
9.68x + 5.06y + -0.77z <= 600.53
3.5x + -5.12y + 6.98z <= 840.67
4.92x + -3.89y + 8.52z <= 459.62
-8.6x + -0.31y + -8.22z <= 842.75
9.12x + 6.12y + 7.17z <= 180.13
9.64x + 7.01y + -7.13z <= 300.25
-0.69x + -9.3y + 2.14z <= 155.55
-7.43x + 8.09y + 1.17z <= 434.11
1.27x + 9.33y + 4.45z <= 860.54
-1.25x + 3.22y + -4.26z <= 513.69
-9.87x + 6.51y + -9.71z <= 280.13
-5.49x + 4.22y + 1.31z <= 414.25
-7.42x + 1.58y + 8.36z <= 747.43
-1.95x + 5.85y + -8.34z <= 618.51
-5.7x + 6.4y + 7.07z <= 868.4
2.47x + 1.97y + 1.35z <= 662.35
1.53x + -2.14y + 7.79z <= 563.76
-4.06x + 0.97y + -8.92z <= 248.94
-5.46x + 0.32y + 9.48z <= 502.5
-9.53x + -1.47y + 5.46z <= 608.94
-8.94x + 8.53y + -9.71z <= 934.5
-6.46x + -1.7y + -4.75z <= 600.48
-4.18x + 2.0y + -4.05z <= 536.52
-1.44x + 7.4y + 9.38z <= 260.73
3.0x + 3.63y + 6.41z <= 913.09
1.35x + 6.93y + 6.35z <= 508.82
-2.53x + 0.19y + 8.18z <= 314.93
-4.44x + -9.19y + 4.77z <= 322.03
3.41x + -5.92y + -0.42z <= 338.81
-7.1x + 7.27y + -6.91z <= 275.04
-8.52x + -2.38y + -1.96z <= 682.69
-6.17x + 7.08y + 6.98z <= 871.53
-9.19x + 5.33y + 6.73z <= 100.53
1.65x + -0.52y + 5.29z <= 607.71
-9.8x + -6.67y + -1.89z <= 360.09
-6.62x + 7.01y + 8.09z <= 901.69
-9.29x + 6.68y + -1.06z <= 218.98
-7.85x + -2.83y + 9.23z <= 656.65
-6.2x + 5.8y + -6.41z <= 285.29
-7.74x + 9.83y + -2.43z <= 669.6
-1.11x + -6.79y + -4.57z <= 101.34
-6.47x + -6.03y + 2.44z <= 539.39
7.54x + -9.41y + -6.33z <= 341.28
-7.92x + -8.09y + 5.95z <= 793.28
-8.73x + -1.94y + -2.46z <= 926.63
-0.69x + -7.71y + 7.4z <= 505.02
-8.31x + -5.82y + -2.01z <= 823.0
-0.22x + -8.65y + -0.77z <= 452.86
6.17x + 5.23y + 5.62z <= 785.1
-3.1x + 5.97y + -4.48z <= 604.43
-8.16x + -8.18y + 8.98z <= 490.98
2.97x + -0.58y + 1.87z <= 241.84
1.3x + -8.56y + -0.07z <= 500.05
3.34x + 9.62y + -5.2z <= 723.12
-9.26x + 3.06y + 0.65z <= 810.68
0.28x + 2.31y + 9.54z <= 123.57
3.6x + -4.33y + -5.3z <= 848.5
-0.8x + -6.5y + 5.98z <= 118.43
-8.14x + 3.19y + -9.25z <= 395.46
3.9x + -0.82y + 8.28z <= 963.41
0.61x + 8.35y + 4.22z <= 164.87
2.28x + -3.83y + -6.86z <= 665.91
1.03x + 9.27y + -3.35z <= 954.18
-0.25x + -8.51y + 2.9z <= 261.76
1.83x + 2.21y + -9.58z <= 831.86
-3.45x + -6.01y + -1.76z <= 647.5
5.85x + 5.62y + -3.9z <= 653.24
9.83x + 1.77y + 3.53z <= 403.46
-9.3x + -9.54y + -2.75z <= 104.67
0.3x + -5.24y + -6.27z <= 364.98
1.07x + 9.39y + 4.58z <= 386.88
-8.74x + -8.18y + -4.83z <= 360.1
-1.0x + -1.21y + -7.2z <= 514.16
-2.68x + 8.94y + -0.12z <= 277.72
-7.39x + 2.56y + -0.09z <= 242.14
-2.98x + -0.72y + -8.18z <= 100.1
9.41x + -2.91y + -1.31z <= 875.21
-8.9x + 7.12y + -0.33z <= 695.7
4.89x + 4.29y + 5.12z <= 995.39
-2.94x + -6.45y + -4.28z <= 856.72
-3.08x + 3.75y + -9.68z <= 506.74
-2.18x + -2.48y + -1.87z <= 869.82
-3.82x + -8.29y + 2.34z <= 404.43
-5.93x + -4.99y + 3.06z <= 909.96
3.93x + -9.59y + 4.72z <= 740.05
-1.82x + -8.04y + 6.55z <= 958.69
1.99x + -7.86y + 2.3z <= 628.87
-2.5x + 3.24y + -5.07z <= 450.91
9.28x + 7.15y + -1.22z <= 318.16
-6.34x + 1.85y + 1.07z <= 989.81
3.82x + 6.79y + 0.1z <= 778.66
-9.04x + -7.0y + 5.59z <= 748.38
-4.83x + 5.35y + -2.14z <= 162.36
-8.12x + 7.69y + -1.92z <= 184.19
3.44x + 1.54y + -2.35z <= 197.67
1.27x + -7.52y + -4.74z <= 898.31
8.34x + -4.95y + -8.24z <= 859.88
7.75x + 7.37y + -8.84z <= 363.33
1.82x + -9.68y + -1.58z <= 441.68
-0.3x + -8.55y + 7.54z <= 511.54
-8.02x + 4.42y + 3.16z <= 859.93
-5.55x + -0.97y + -8.99z <= 619.64
-0.73x + 5.43y + -5.31z <= 134.67
3.86x + 4.06y + -0.33z <= 569.98
7.01x + 5.5y + -2.44z <= 172.02
-0.3x + -9.9y + 1.08z <= 977.59
1.84x + 8.62y + -0.95z <= 392.03
-9.05x + 9.73y + -7.86z <= 761.62
3.68x + -3.17y + 8.97z <= 921.91
9.17x + 0.49y + -1.19z <= 672.25
8.84x + -2.26y + -1.25z <= 264.04
-2.73x + 2.8y + -3.85z <= 274.57
-1.02x + 2.97y + -8.08z <= 688.16
-1.59x + -5.15y + -2.98z <= 564.25
6.16x + 3.95y + -7.46z <= 345.46
-4.73x + 9.12y + -3.1z <= 364.9
5.12x + -1.49y + 5.13z <= 319.14
-7.65x + -2.47y + -7.86z <= 261.98
-2.88x + -9.92y + 6.1z <= 611.07
-7.03x + -9.75y + -4.52z <= 360.3
0.7x + -4.72y + -8.92z <= 111.5
-0.64x + 4.86y + 0.1z <= 867.73
1.24x + -1.72y + -1.61z <= 300.64
-1.35x + 4.51y + -1.04z <= 345.94
8.44x + -6.07y + 0.26z <= 943.3
-5.3x + -4.43y + -7.33z <= 759.63
0.74x + -1.92y + -7.57z <= 995.78
-1.55x + 2.72y + -4.48z <= 896.16
-9.18x + 1.6y + -4.84z <= 344.13
-3.87x + -2.92y + 2.06z <= 164.85
-6.32x + -1.15y + -2.22z <= 632.77
-4.97x + -1.16y + 4.6z <= 186.51
-2.67x + -8.18y + 7.56z <= 984.7
5.04x + -0.79y + 8.84z <= 984.77
1.13x + -2.76y + 2.97z <= 790.52
-7.33x + 5.68y + -0.26z <= 285.17
-6.63x + 1.42y + 6.85z <= 142.6
-4.63x + -5.23y + -8.48z <= 669.89
-1.6x + -0.64y + -3.68z <= 346.78
-0.07x + -4.56y + 9.24z <= 669.83
-8.27x + 1.76y + 6.65z <= 657.7
9.35x + -2.52y + 8.19z <= 149.61
7.76x + 0.84y + -9.02z <= 236.12
8.31x + 3.64y + 9.67z <= 515.95
7.56x + 7.32y + 8.75z <= 149.32
5.5x + -5.07y + -7.94z <= 921.11
-2.43x + 3.17y + 3.69z <= 823.73
-9.32x + -0.74y + -8.07z <= 652.94
4.88x + 9.62y + 3.72z <= 647.47
3.41x + -9.94y + 6.03z <= 979.7
-8.55x + -9.24y + 8.09z <= 919.42
-8.29x + -8.47y + 2.63z <= 560.25
-1.83x + -7.75y + 7.36z <= 871.75
5.46x + 1.21y + 5.44z <= 328.76
1.58x + -2.87y + -5.68z <= 619.36
1.65x + 4.86y + 2.38z <= 945.7
0.07x + 4.14y + -4.78z <= 263.64
-3.76x + 0.24y + -2.86z <= 234.78
-1.6x + 4.41y + 2.91z <= 429.86
-3.3x + -3.46y + -0.03z <= 866.74
-4.89x + -2.81y + 7.48z <= 532.82
-6.64x + 4.15y + -4.13z <= 633.59
-5.03x + -5.89y + 4.02z <= 298.75
-3.42x + -9.89y + 5.58z <= 230.14
2.5x + -4.37y + 2.42z <= 454.82
5.41x + 8.12y + 6.69z <= 251.4
-1.82x + 9.35y + -9.75z <= 553.09
-7.45x + 9.07y + -4.35z <= 949.54
8.4x + -3.08y + 9.97z <= 992.81
-6.66x + 2.94y + -2.4z <= 261.18
-3.27x + 3.42y + -6.63z <= 990.74
0.6x + -4.71y + 9.06z <= 208.91
7.5x + -5.5y + 6.54z <= 279.08
5.74x + -7.0y + 1.4z <= 430.56
5.64x + -8.22y + -8.61z <= 156.88
-9.31x + 1.7y + 5.64z <= 150.58
-0.89x + -6.31y + -6.25z <= 860.54
-3.22x + -5.3y + -6.67z <= 240.29
-3.5x + 5.55y + 9.45z <= 284.33
-9.81x + -2.69y + 2.0z <= 882.3
-4.27x + -4.86y + -8.52z <= 653.95
4.73x + -2.63y + 3.73z <= 869.36
7.65x + -1.92y + 1.28z <= 722.86
-7.16x + -7.62y + -5.01z <= 505.72
-6.53x + 0.7y + -2.96z <= 917.63
-7.88x + 3.91y + -2.54z <= 382.6
-1.22x + -1.4y + 9.46z <= 734.19
-2.39x + 3.51y + 0.38z <= 273.43
5.88x + -5.19y + 5.08z <= 324.71
3.22x + -5.25y + 0.03z <= 762.47
3.65x + -8.46y + 6.61z <= 425.17
-5.36x + -3.32y + -0.65z <= 181.47
-3.85x + -9.99y + 3.32z <= 735.48
3.6x + 8.46y + 2.39z <= 183.68
-3.81x + 0.86y + 7.4z <= 593.38
7.11x + -5.87y + -3.59z <= 996.34
-7.09x + 4.12y + 1.1z <= 194.51
9.59x + -4.93y + -3.92z <= 201.54
-8.33x + -4.13y + 3.88z <= 255.98
7.52x + 0.22y + -7.82z <= 157.23
8.89x + -9.63y + -1.07z <= 100.09
-0.71x + 3.15y + 2.57z <= 287.16
7.22x + -0.96y + -0.06z <= 262.72
-2.76x + 4.01y + 1.3z <= 207.02
-0.43x + -6.79y + -9.57z <= 934.32
1.23x + 4.12y + 4.72z <= 740.09
-1.69x + 1.77y + 3.35z <= 283.74
2.17x + 4.84y + -5.24z <= 634.11
-7.44x + 1.2y + 4.78z <= 263.4
-0.3x + 3.91y + 3.67z <= 910.95
8.59x + -6.2y + -0.44z <= 766.75
1.73x + -9.01y + -8.25z <= 110.99
-5.61x + -7.71y + -4.73z <= 218.64
7.18x + -6.09y + -2.38z <= 204.36
8.8x + 0.38y + 9.18z <= 911.07
-5.05x + 2.68y + -0.77z <= 793.28
-1.84x + -3.3y + -4.81z <= 316.12
7.47x + 1.91y + 9.16z <= 896.38
9.07x + -3.31y + 8.02z <= 413.3
6.08x + 3.73y + 9.39z <= 891.04
3.53x + 0.08y + -3.37z <= 540.19
-9.44x + 1.94y + -4.32z <= 272.75
2.08x + -4.34y + 0.02z <= 223.66
8.7x + -4.78y + -8.89z <= 478.27
-7.82x + -6.79y + -9.35z <= 109.01
-7.22x + 1.99y + -5.78z <= 456.65
-6.68x + 4.31y + -1.04z <= 794.61
-1.19x + -3.64y + 6.17z <= 155.12
6.41x + 0.85y + 7.88z <= 891.11
-8.92x + -0.99y + 6.82z <= 289.85
-3.7x + 3.44y + 2.43z <= 861.53
-8.75x + 7.87y + -3.13z <= 768.23
3.03x + -5.93y + -5.48z <= 814.18
-7.19x + -4.51y + 1.23z <= 863.39
-4.97x + 5.47y + 0.51z <= 618.16
9.96x + 4.9y + -8.96z <= 594.9
3.08x + -1.76y + -1.36z <= 785.23
-3.52x + -7.27y + -0.49z <= 824.86
-1.18x + -7.53y + -3.79z <= 200.42
4.67x + -8.05y + -6.97z <= 855.14
8.14x + -7.05y + 9.72z <= 194.46
-8.07x + 4.76y + -8.7z <= 889.45
4.91x + -4.72y + 4.52z <= 891.87
-5.97x + -0.38y + -1.12z <= 934.41
-0.56x + -2.15y + -8.69z <= 258.98
4.63x + 5.25y + 7.5z <= 753.53
-7.98x + 4.43y + -5.54z <= 897.65
-1.69x + 3.9y + 3.55z <= 754.56
-0.78x + -6.99y + -6.79z <= 710.05
6.62x + -4.99y + 3.27z <= 210.29
4.31x + 4.17y + 9.05z <= 870.89
1.82x + 7.49y + 0.48z <= 850.76
4.07x + 6.51y + -4.78z <= 557.11
6.04x + 4.1y + 5.6z <= 711.76
1.82x + 2.99y + -2.97z <= 301.13
-2.58x + 4.66y + 1.22z <= 877.32
5.32x + 4.95y + 0.52z <= 782.75
4.28x + 0.46y + -8.25z <= 667.03
-0.64x + -2.28y + -3.17z <= 210.03
1.05x + 3.09y + 8.78z <= 205.49
-5.81x + 9.32y + -2.29z <= 156.74
8.14x + 8.66y + -2.91z <= 266.01
5.04x + 0.02y + -3.43z <= 526.45
-6.18x + 4.84y + -1.81z <= 378.58
-3.56x + 0.68y + -0.18z <= 817.92
-3.97x + 2.72y + 7.11z <= 482.96
4.6x + -5.95y + -8.98z <= 627.99
-5.76x + 4.8y + 5.69z <= 628.85
2.62x + -0.74y + 8.53z <= 423.44
-4.42x + 2.2y + -6.09z <= 830.37
-0.72x + 1.92y + 6.15z <= 360.33
4.67x + 3.95y + 4.04z <= 251.07
-2.29x + 1.31y + -1.69z <= 112.98
-8.22x + 1.03y + 7.02z <= 743.76
1.11x + -7.31y + -5.04z <= 192.18
1.39x + 5.24y + 5.48z <= 568.95
2.86x + 0.47y + 3.67z <= 182.64
-1.41x + 2.83y + 0.48z <= 315.9
5.29x + -1.98y + -2.55z <= 316.54
-5.33x + 8.89y + 1.95z <= 674.63
-7.79x + -9.6y + 4.51z <= 281.54
9.75x + -1.04y + 6.26z <= 738.72
-9.9x + -6.51y + -2.4z <= 751.3
7.45x + -2.14y + 2.67z <= 295.35
5.98x + -7.1y + -4.43z <= 561.96
7.13x + 1.68y + -7.3z <= 357.28
9.56x + -2.83y + 3.2z <= 815.69
9.35x + -1.79y + -2.51z <= 719.77
-7.25x + 4.02y + 0.48z <= 987.33
-4.71x + 7.53y + 9.21z <= 253.47
5.03x + -2.35y + -9.5z <= 283.27
4.73x + 1.91y + 0.98z <= 826.03
1.01x + 5.65y + 9.56z <= 851.11
-3.15x + 8.64y + -7.36z <= 905.04
-7.37x + -8.34y + -4.38z <= 870.84
-1.11x + 0.42y + 5.89z <= 409.65
-9.79x + 3.15y + -6.28z <= 324.89
-5.21x + 0.55y + -9.58z <= 384.98
-3.72x + 3.62y + 7.82z <= 421.53
-8.29x + 9.02y + 9.62z <= 271.33
0.25x + 1.24y + 7.0z <= 486.63
-6.39x + -0.34y + -8.36z <= 336.02
6.29x + 4.15y + 1.1z <= 263.64
-6.94x + 8.73y + -1.18z <= 367.67
1.94x + 7.61y + -8.56z <= 587.78
-8.09x + 9.7y + -9.09z <= 683.55
4.64x + 4.18y + 3.68z <= 910.64
-2.26x + -2.67y + -2.57z <= 689.62
-1.62x + -6.69y + 7.09z <= 262.01
7.9x + 7.54y + -6.08z <= 761.18
1.05x + -7.58y + 1.79z <= 161.67
-0.49x + 6.24y + -5.15z <= 495.82
-8.32x + -2.22y + -1.47z <= 866.1
7.97x + -7.63y + -0.45z <= 370.31
-2.45x + -7.2y + -5.57z <= 412.34
4.14x + 9.39y + 4.21z <= 850.74
4.77x + 7.18y + 6.25z <= 449.68
-2.29x + -1.37y + -0.28z <= 940.63
-8.24x + 7.56y + -3.88z <= 744.46
-0.18x + -7.48y + -7.6z <= 579.73
5.07x + 4.5y + -2.05z <= 894.42
1.03x + 3.15y + -1.28z <= 908.46
-0.74x + 6.28y + -0.75z <= 299.1
-0.96x + 4.43y + -0.08z <= 615.52
-4.95x + 0.73y + 3.45z <= 901.21
-7.27x + 2.98y + 1.99z <= 656.84
-2.59x + -5.82y + -5.09z <= 805.92
-7.99x + 5.32y + 4.49z <= 399.08
8.01x + 2.59y + 4.58z <= 380.19
5.85x + 1.83y + -4.28z <= 992.01
-4.32x + -3.48y + 8.76z <= 320.19
-2.68x + 5.27y + -3.38z <= 130.05
2.84x + -2.89y + 2.54z <= 318.58
-5.17x + -7.67y + -2.49z <= 566.79
-8.05x + 7.23y + 1.55z <= 804.35
1.03x + -4.66y + 2.88z <= 727.86
-4.89x + 8.35y + 9.22z <= 527.88
4.31x + -5.07y + -1.21z <= 293.08
2.91x + 2.15y + -1.13z <= 993.73
-5.14x + 7.55y + -1.7z <= 806.25
0.77x + 6.94y + 1.61z <= 883.52
