max -3.89x + 5.62y + 2.47z
4.84x + 0.54y + 9.52z <= 447.26
5.89x + -1.79y + -6.29z <= 462.29
-4.52x + -3.63y + 1.8z <= 813.49
3.16x + 6.48y + -9.8z <= 966.29
-5.76x + 7.67y + -0.44z <= 671.17
-0.89x + -6.22y + 4.16z <= 641.85
7.52x + -8.92y + 4.69z <= 326.65
9.25x + 1.26y + 7.83z <= 680.24
-0.82x + -1.86y + 2.86z <= 668.09
5.41x + 5.49y + 4.85z <= 837.38
1.97x + -5.17y + 7.14z <= 935.14
-8.05x + 2.89y + -8.6z <= 501.88
-3.86x + 1.42y + -4.41z <= 941.96
-9.91x + -8.42y + 6.32z <= 815.88
4.09x + 1.47y + -1.72z <= 186.47
7.83x + -4.85y + -4.85z <= 254.22
1.92x + -8.16y + -4.05z <= 377.39
4.06x + -9.34y + -8.11z <= 244.43
1.36x + 5.03y + 4.56z <= 515.67
4.47x + -7.08y + -9.61z <= 960.49
9.83x + 6.15y + -1.5z <= 807.72
-4.95x + -6.96y + 6.51z <= 665.01
4.29x + -2.22y + -4.37z <= 298.61
-4.69x + -5.9y + 8.38z <= 183.76
6.92x + 7.45y + 3.77z <= 828.89
5.87x + 5.35y + 5.43z <= 337.06
0.76x + -1.16y + -7.26z <= 563.17
2.27x + -5.11y + 6.96z <= 773.77
-2.84x + 4.95y + -2.53z <= 627.11
-3.07x + -1.85y + 7.33z <= 448.25
8.4x + 6.78y + -4.69z <= 674.99
4.0x + 9.54y + 5.38z <= 572.6
4.65x + 5.27y + -0.6z <= 496.06
-9.36x + 8.5y + 9.36z <= 657.19
1.75x + 6.14y + 6.19z <= 214.25
6.49x + 3.03y + -4.61z <= 358.61
8.04x + 3.7y + 5.24z <= 447.45
3.08x + 3.17y + -7.81z <= 874.85
-0.9x + -7.98y + -5.76z <= 939.12
7.97x + -6.13y + -9.32z <= 485.79
3.19x + -3.94y + 8.81z <= 416.78
-4.61x + -1.26y + -0.84z <= 226.51
-5.19x + -9.59y + -9.54z <= 254.65
-8.92x + -9.99y + -3.84z <= 436.11
8.36x + 9.61y + 2.98z <= 311.39
0.64x + -6.28y + 0.48z <= 176.23
4.87x + -7.5y + 8.82z <= 395.47
0.85x + 9.0y + 0.6z <= 718.79
-8.64x + -0.31y + -8.22z <= 330.9
0.42x + -0.88y + 0.29z <= 968.32
-9.56x + 2.46y + -9.56z <= 164.92
-9.44x + -5.52y + 9.69z <= 989.16
0.18x + 4.05y + 8.98z <= 511.7
4.35x + -1.39y + -6.44z <= 568.7
5.27x + -3.55y + -2.64z <= 511.52
8.1x + 1.19y + 8.79z <= 461.27
7.25x + -8.58y + -2.47z <= 848.27
-1.19x + 5.42y + -6.75z <= 777.38
-9.14x + 2.44y + 1.59z <= 736.29
9.83x + -0.05y + 0.49z <= 593.56
4.08x + -3.61y + 5.36z <= 655.5
7.46x + -7.8y + 7.63z <= 409.83
-5.48x + -9.19y + 3.58z <= 843.72
2.34x + 3.62y + 7.22z <= 306.19
-7.47x + 1.7y + -8.91z <= 448.39
8.38x + -3.25y + 7.27z <= 742.45
-6.09x + -8.03y + 6.54z <= 759.94
-5.53x + -8.77y + 8.31z <= 833.63
9.8x + -0.6y + -3.32z <= 403.69
-1.85x + 4.12y + -0.66z <= 987.17
2.76x + -6.74y + 6.81z <= 123.81
1.77x + -2.26y + -5.07z <= 199.68
-9.47x + -6.18y + -3.34z <= 177.97
4.89x + -1.69y + -8.99z <= 748.44
8.51x + -1.58y + 3.22z <= 864.35
-2.03x + -7.46y + -2.58z <= 342.91
-9.55x + 9.33y + 8.58z <= 187.92
-4.76x + -4.61y + -2.92z <= 857.78
-9.88x + -0.66y + 2.01z <= 630.16
2.3x + -5.86y + 3.5z <= 397.09
-7.98x + 2.93y + 7.65z <= 275.55
4.03x + -3.46y + 3.23z <= 108.32
7.83x + -5.27y + -3.94z <= 746.84
-5.4x + -5.55y + 5.44z <= 591.82
0.47x + -0.25y + -7.59z <= 123.62
9.43x + 8.0y + -5.59z <= 337.55
7.17x + 9.01y + 8.88z <= 275.67
7.95x + 3.09y + 7.26z <= 226.4
6.31x + 8.94y + -9.84z <= 379.11
-2.68x + 7.71y + 6.4z <= 893.84
-3.56x + -1.02y + 1.71z <= 308.77
4.11x + -1.81y + -7.78z <= 399.61
-6.99x + 9.75y + -5.86z <= 879.64
5.9x + -4.94y + 9.36z <= 825.09
-2.1x + 0.54y + 2.5z <= 862.93
-2.46x + 6.21y + 5.64z <= 921.57
1.43x + 9.41y + 2.02z <= 526.09
-9.41x + 6.58y + -5.05z <= 828.04
-2.82x + -5.92y + -7.93z <= 579.61
-3.6x + 0.53y + -2.61z <= 912.41
-8.12x + 5.63y + -1.13z <= 994.64
3.96x + 0.79y + -7.73z <= 129.81
2.64x + 4.67y + -8.38z <= 567.08
0.93x + 1.17y + 7.73z <= 425.04
4.84x + 8.47y + 0.84z <= 688.92
-0.86x + 2.43y + -6.76z <= 464.45
1.9x + 7.39y + 8.15z <= 782.98
-5.97x + 9.75y + -2.58z <= 496.05
5.66x + -0.19y + 9.49z <= 596.38
-1.62x + 8.98y + 4.87z <= 891.77
-5.01x + -3.22y + 8.84z <= 689.18
6.06x + 7.07y + -5.93z <= 132.39
-2.82x + 8.72y + 5.67z <= 808.62
4.03x + 8.09y + -3.74z <= 338.42
2.57x + 9.21y + 6.67z <= 186.74
-9.92x + -7.4y + -4.18z <= 856.05
3.07x + -5.99y + 2.57z <= 829.36
-0.4x + -4.19y + -0.05z <= 687.41
0.52x + -3.44y + -7.15z <= 256.91
-4.25x + -9.64y + -7.69z <= 323.02
2.76x + -7.98y + -4.16z <= 879.8
7.03x + -0.89y + 6.07z <= 845.57
-6.41x + 9.84y + -9.0z <= 179.07
-3.55x + -3.1y + -2.75z <= 868.75
0.53x + -1.14y + -8.19z <= 560.38
7.82x + 4.27y + -7.79z <= 309.04
-1.1x + 6.89y + 1.51z <= 257.16
4.95x + 2.92y + 2.47z <= 367.04
-5.16x + -2.3y + 3.59z <= 620.59
-0.37x + -7.04y + 3.69z <= 680.0
7.14x + -1.5y + 8.38z <= 845.06
6.83x + 3.5y + 3.59z <= 189.83
0.16x + -8.04y + -6.28z <= 549.78
-4.44x + 0.28y + -5.18z <= 280.46
1.26x + -2.37y + 8.45z <= 426.64
-7.18x + 6.3y + 1.68z <= 439.78
9.09x + 2.95y + -5.73z <= 362.51
-0.32x + -0.84y + -0.75z <= 470.88
7.99x + -5.81y + 8.72z <= 618.04
2.11x + 5.09y + -3.17z <= 980.4
5.92x + 1.5y + -0.85z <= 343.59
9.77x + -0.6y + 8.41z <= 257.7
-2.59x + -4.1y + 0.67z <= 178.92
-7.42x + 0.17y + 8.57z <= 918.87
8.16x + -5.87y + -9.87z <= 907.13
4.97x + 6.97y + -3.37z <= 826.53
4.61x + -6.64y + 7.91z <= 564.52
9.26x + 9.58y + 5.74z <= 536.36
0.92x + -9.32y + 2.19z <= 240.68
-3.46x + -5.55y + -0.32z <= 648.06
-2.98x + 8.12y + 4.8z <= 348.1
-6.96x + -0.05y + 5.18z <= 309.13
7.9x + 9.19y + 1.8z <= 674.23
-7.51x + 4.09y + -9.23z <= 646.1
-1.79x + 5.84y + 2.0z <= 906.03
1.29x + 5.55y + -5.57z <= 947.1
-3.23x + -0.7y + -8.78z <= 170.63
1.84x + -0.54y + -5.27z <= 735.57
-3.07x + -3.22y + 7.35z <= 299.05
-2.99x + -2.36y + 3.02z <= 136.48
-0.22x + 9.11y + -6.67z <= 488.68
-7.92x + -5.76y + 5.18z <= 675.97
-1.72x + -2.32y + 7.19z <= 845.53
-9.09x + 7.36y + 4.8z <= 187.11
-0.44x + -9.22y + -1.42z <= 921.78
5.12x + 9.37y + 6.4z <= 483.29
-6.15x + 8.05y + -5.28z <= 450.83
4.73x + -5.1y + 3.24z <= 721.47
-3.57x + 3.24y + 6.11z <= 570.61
-0.19x + 3.85y + 7.42z <= 510.78
2.67x + 3.17y + -0.91z <= 715.01
-9.92x + 1.69y + 6.2z <= 957.5
-4.54x + 6.86y + -5.82z <= 693.09
-5.55x + 8.98y + 1.9z <= 632.22
-7.18x + 7.24y + 7.89z <= 296.9
-2.56x + -2.69y + -8.59z <= 885.98
-2.11x + -1.42y + -9.03z <= 194.29
-1.79x + 6.75y + -6.67z <= 232.97
-5.02x + -7.76y + 0.92z <= 649.37
-3.04x + -3.92y + -9.34z <= 993.42
-4.51x + 2.19y + -9.22z <= 143.4
5.68x + 8.35y + -9.73z <= 452.24
2.28x + 2.05y + -6.34z <= 218.17
-2.67x + 0.57y + 1.78z <= 332.56
-8.73x + -2.31y + -3.14z <= 173.9
7.7x + 9.75y + -6.51z <= 506.0
-6.21x + -6.35y + -9.23z <= 665.66
-2.47x + 8.83y + 1.52z <= 331.19
-3.36x + -4.26y + -2.09z <= 795.81
-6.63x + 9.72y + 6.14z <= 880.18
3.29x + -9.55y + -9.41z <= 422.26
-8.83x + -7.31y + -8.24z <= 603.51
4.37x + 9.72y + -9.32z <= 406.31
-5.0x + -4.23y + 2.09z <= 104.04
-0.84x + -9.89y + -4.36z <= 709.66
-6.88x + -5.76y + 3.6z <= 665.33
7.34x + 5.58y + 2.33z <= 424.15
3.74x + -7.83y + -0.12z <= 643.84
-3.51x + 1.4y + -3.72z <= 350.74
-3.43x + -2.92y + -0.68z <= 956.93
-0.2x + -7.28y + -5.75z <= 645.09
-0.12x + -5.86y + 7.19z <= 634.51
-2.98x + 2.84y + 2.58z <= 424.67
3.63x + 4.74y + -9.1z <= 165.98
-9.43x + 3.95y + -6.69z <= 647.61
-2.0x + -4.99y + -5.85z <= 627.45
3.48x + 4.26y + -2.83z <= 444.38
-3.6x + -5.97y + 7.48z <= 415.33
3.6x + -4.92y + 1.05z <= 700.79
2.94x + 3.91y + -1.95z <= 518.62
-3.52x + 4.19y + -8.86z <= 722.77
1.47x + -1.82y + -7.35z <= 853.87
-5.75x + -1.71y + 0.24z <= 358.03
6.97x + 0.15y + -1.72z <= 576.59
-0.46x + -2.24y + -1.12z <= 893.4
-0.19x + -3.69y + -1.8z <= 113.78
-5.63x + 4.28y + 1.2z <= 498.9
8.65x + -6.55y + -9.25z <= 268.29
7.82x + 4.24y + 6.69z <= 596.33
6.49x + 7.53y + 1.73z <= 306.63
-5.15x + 9.88y + 5.29z <= 550.73
4.45x + -3.85y + -3.33z <= 781.33
3.4x + 8.72y + 7.64z <= 949.07
1.71x + -5.49y + -5.95z <= 303.43
-8.52x + 3.04y + -5.66z <= 478.17
3.95x + 1.11y + -7.36z <= 325.46
9.94x + -3.13y + 6.93z <= 265.09
-7.49x + -4.68y + -6.74z <= 568.48
7.64x + -4.15y + 2.05z <= 641.1
1.82x + 5.03y + -5.28z <= 869.13
8.81x + -3.5y + -2.87z <= 184.59
5.56x + -1.32y + 0.42z <= 390.19
-5.67x + -2.31y + -9.78z <= 592.85
2.26x + 0.43y + -1.67z <= 145.47
-6.14x + 5.76y + -3.71z <= 542.82
8.01x + -6.66y + -3.84z <= 658.94
5.17x + -7.38y + -9.28z <= 606.68
4.62x + 6.19y + -6.55z <= 728.59
0.7x + -1.45y + 0.34z <= 865.42
-5.15x + 8.7y + 1.46z <= 505.01
-5.65x + -1.6y + -3.19z <= 229.18
3.41x + 4.52y + 5.86z <= 796.68
-2.17x + 1.83y + -3.97z <= 124.02
6.21x + -7.99y + -3.94z <= 251.88
-2.29x + 6.49y + 8.39z <= 597.01
-3.66x + -0.39y + 3.36z <= 737.32
5.57x + -8.02y + 8.1z <= 314.69
1.74x + 8.9y + 4.67z <= 335.69
-6.37x + 4.85y + -5.72z <= 445.67
-7.15x + -3.84y + -5.71z <= 176.27
-6.2x + 2.67y + 4.76z <= 273.54
9.79x + 5.49y + 0.94z <= 685.03
-9.28x + 6.45y + 8.31z <= 960.73
3.44x + -3.04y + 3.11z <= 453.96
-5.92x + 6.71y + 7.02z <= 870.71
1.08x + 9.04y + -1.79z <= 183.96
-9.42x + 2.54y + 1.75z <= 552.39
5.52x + -1.61y + -9.9z <= 841.97
-8.85x + -1.85y + -9.39z <= 574.09
7.44x + -8.17y + 7.14z <= 614.78
4.75x + 6.43y + 0.35z <= 365.86
8.68x + 0.4y + 2.36z <= 761.29
2.27x + -2.98y + -3.53z <= 273.53
2.52x + -2.17y + 5.63z <= 812.16
3.67x + -6.42y + -7.72z <= 799.83
-2.93x + 9.21y + 5.88z <= 241.24
-2.61x + -5.9y + -0.98z <= 626.08
2.65x + 2.48y + -2.46z <= 564.29
-1.55x + 8.9y + -2.98z <= 553.94
2.38x + 8.41y + 9.52z <= 525.04
-6.42x + -6.51y + 4.61z <= 756.25
-7.04x + 4.71y + 3.38z <= 916.9
4.26x + -1.36y + -2.8z <= 640.19
-5.55x + -1.77y + 8.4z <= 193.85
6.53x + -7.39y + -7.81z <= 280.81
-6.3x + 6.97y + -4.55z <= 349.87
-3.3x + -0.1y + -3.28z <= 501.36
3.13x + -9.81y + 4.42z <= 216.72
-6.16x + 0.23y + 2.68z <= 996.45
9.54x + -2.25y + -6.32z <= 105.25
-9.42x + 8.51y + 9.53z <= 653.56
-3.69x + 6.85y + -3.04z <= 840.98
-0.58x + -1.68y + 3.14z <= 296.97
8.3x + 9.87y + -6.83z <= 845.98
4.58x + 2.64y + 8.1z <= 831.39
0.67x + -6.15y + 5.1z <= 459.54
6.13x + 6.21y + 4.08z <= 360.93
0.89x + -7.45y + 4.08z <= 721.88
-3.56x + 8.96y + -4.02z <= 214.45
-5.31x + 0.77y + 8.8z <= 671.39
-6.57x + 9.97y + 0.02z <= 428.35
-0.23x + -9.88y + 2.76z <= 594.21
8.84x + 8.96y + 5.61z <= 374.41
-1.23x + -2.98y + -9.84z <= 743.19
4.97x + -9.4y + 1.13z <= 158.07
6.18x + -1.27y + 1.14z <= 609.72
-7.12x + 9.69y + 7.09z <= 672.39
9.3x + -9.55y + -8.63z <= 926.8
-4.12x + 6.25y + -8.57z <= 199.78
-3.85x + -4.78y + 2.4z <= 881.91
-9.22x + -0.74y + 2.66z <= 740.93
9.67x + -4.81y + 7.37z <= 586.75
-5.18x + 8.81y + 7.76z <= 408.97
8.07x + 9.3y + -5.47z <= 782.71
0.76x + 3.15y + 2.76z <= 233.77
-1.29x + 6.56y + -9.67z <= 607.58
0.75x + -5.74y + 3.07z <= 872.1
-2.21x + 8.98y + -0.63z <= 979.45
6.87x + 7.33y + -7.93z <= 943.69
1.63x + -4.34y + -1.63z <= 629.71
-9.14x + 4.91y + 7.52z <= 590.96
8.03x + 1.68y + 9.23z <= 549.93
-1.96x + 2.8y + 8.78z <= 170.68
-5.98x + 1.11y + 5.9z <= 987.72
-1.87x + -9.4y + 3.99z <= 591.78
-6.4x + 3.37y + 7.44z <= 233.11
-6.5x + -2.49y + 6.46z <= 437.24
-8.25x + -4.02y + -6.65z <= 976.7
-4.41x + -5.94y + -6.47z <= 425.62
-0.44x + -1.84y + -1.18z <= 694.36
7.82x + -2.43y + 3.36z <= 293.26
-5.3x + 2.21y + -1.31z <= 879.08
-4.02x + -4.25y + 0.09z <= 141.09
-9.41x + 7.7y + -6.51z <= 205.91
-1.96x + 3.66y + 1.85z <= 336.8
-1.28x + -3.82y + -6.71z <= 939.28
-4.5x + 6.83y + 9.12z <= 938.55
-6.16x + 4.67y + 2.0z <= 798.52
6.49x + -8.53y + 2.55z <= 657.32
-2.96x + 0.02y + 8.67z <= 287.04
-8.17x + -0.2y + -4.72z <= 441.2
3.05x + 3.5y + 6.67z <= 692.3
-7.34x + -4.92y + -9.09z <= 152.49
3.55x + -2.64y + 9.76z <= 242.84
3.49x + -9.44y + 5.68z <= 642.79
7.23x + 2.44y + 4.39z <= 341.9
-3.28x + 7.44y + 5.69z <= 885.85
4.06x + -3.28y + -7.32z <= 924.63
7.68x + -2.1y + -5.69z <= 945.67
-3.75x + -7.46y + 2.97z <= 252.63
-0.6x + -2.11y + 5.19z <= 386.94
8.63x + 0.34y + -7.57z <= 484.6
-3.65x + 3.21y + -7.98z <= 427.86
-3.73x + -3.54y + 6.88z <= 228.65
2.24x + -6.79y + -4.28z <= 594.56
-4.04x + 6.83y + 4.72z <= 805.15
-9.63x + -4.69y + -8.89z <= 344.79
4.72x + -9.66y + 7.1z <= 204.55
-5.0x + -8.55y + 2.41z <= 519.55
7.98x + 0.86y + 7.96z <= 918.22
0.06x + 4.49y + -5.69z <= 385.76
-1.34x + -3.47y + 0.9z <= 286.86
3.8x + 5.3y + -3.15z <= 240.7
-3.37x + 1.75y + -0.36z <= 624.85
-3.31x + -0.44y + -4.91z <= 302.88
-9.62x + 1.85y + 2.04z <= 630.62
0.92x + -7.54y + -0.48z <= 430.5
2.68x + 3.92y + 8.95z <= 367.23
-3.22x + 0.18y + -6.65z <= 125.92
-6.28x + -3.12y + -6.26z <= 315.02
5.26x + 8.14y + -9.7z <= 418.45
3.03x + 9.96y + 0.98z <= 817.49
-7.67x + -0.64y + -1.42z <= 876.04
-3.75x + -7.34y + 0.06z <= 277.33
5.95x + 3.99y + -9.23z <= 127.03
8.83x + 6.64y + 5.52z <= 944.35
-8.39x + -6.25y + -4.75z <= 731.65
-6.46x + 0.61y + -2.99z <= 859.1
-9.57x + 1.43y + -1.86z <= 233.84
-5.47x + 2.68y + -2.89z <= 340.73
0.6x + 8.54y + 4.82z <= 474.36
-9.25x + 9.56y + 2.79z <= 239.41
6.1x + 7.37y + 3.01z <= 311.95
4.26x + -3.09y + 2.53z <= 852.78
-2.1x + -5.48y + 3.94z <= 818.67
-7.16x + 2.85y + -0.84z <= 677.68
-2.39x + -1.81y + 3.05z <= 747.66
5.74x + -1.02y + 5.41z <= 207.92
-0.38x + 2.89y + -7.8z <= 570.7
8.27x + 8.25y + 4.92z <= 954.45
6.83x + 4.47y + -9.8z <= 613.84
2.8x + 7.84y + 8.12z <= 410.78
5.08x + -3.81y + 6.88z <= 321.57
-9.6x + 3.85y + 4.56z <= 429.81
0.61x + 1.74y + 6.12z <= 693.06
-2.39x + 3.46y + 7.47z <= 246.76
-6.77x + -8.05y + -3.43z <= 351.4
8.89x + 2.27y + 9.97z <= 700.62
-4.58x + 2.01y + -7.82z <= 879.05
-8.94x + 7.85y + -2.66z <= 860.36
1.61x + -2.05y + -6.21z <= 716.85
-9.16x + -1.07y + -0.37z <= 782.26
-9.77x + 4.64y + 8.5z <= 318.93
-7.68x + 2.15y + -3.22z <= 211.17
-7.62x + 1.46y + 1.41z <= 516.03
-2.19x + 0.74y + 6.52z <= 594.15
-2.89x + -5.46y + 7.36z <= 322.7
0.9x + 5.2y + -4.35z <= 829.5
0.22x + -2.14y + -2.27z <= 422.67
-5.53x + 1.58y + 0.34z <= 492.54
-8.98x + 3.8y + -2.09z <= 588.12
0.82x + -2.25y + -1.92z <= 108.02
-1.86x + -3.14y + -2.04z <= 959.91
-2.43x + -5.51y + 7.66z <= 514.23
-9.54x + -5.63y + 3.08z <= 149.49
6.4x + -8.61y + 7.39z <= 799.06
9.88x + -5.69y + 8.46z <= 582.52
-7.64x + 4.89y + 8.82z <= 628.38
-9.97x + -8.25y + -4.51z <= 636.69
8.15x + 6.75y + 6.55z <= 462.99
4.42x + -9.19y + -5.74z <= 137.35
3.83x + 6.57y + 4.0z <= 683.25
-4.42x + 6.12y + -5.33z <= 635.41
-9.93x + -2.72y + -8.27z <= 597.76
6.88x + -2.38y + -4.6z <= 344.92
-9.0x + 5.62y + 6.82z <= 130.29
8.75x + 2.61y + 9.88z <= 678.42
1.07x + 7.29y + 7.32z <= 751.59
-4.16x + 4.3y + 7.35z <= 969.55
3.49x + 2.9y + 2.21z <= 799.43
-7.42x + 5.96y + 6.48z <= 564.94
-4.59x + -7.74y + -1.35z <= 247.76
2.55x + 6.22y + -2.56z <= 708.89
3.31x + 3.82y + -5.58z <= 690.85
-0.09x + -7.12y + 8.36z <= 872.74
-9.08x + 9.69y + -5.47z <= 243.4
2.06x + 8.2y + -2.81z <= 266.05
6.0x + 1.73y + -0.44z <= 273.25
1.33x + -0.28y + -5.3z <= 167.5
2.83x + 3.09y + 1.13z <= 683.55
9.01x + -5.67y + -5.85z <= 999.71
-1.07x + 7.38y + -0.65z <= 213.69
5.12x + 8.71y + 2.21z <= 410.46
6.4x + -2.51y + -6.11z <= 254.95
-5.66x + -2.93y + 0.31z <= 732.93
-8.13x + 1.68y + -1.19z <= 369.54
-2.6x + -1.86y + -3.57z <= 174.99
0.39x + 1.58y + 3.24z <= 592.95
-2.53x + 3.75y + -4.38z <= 527.19
-2.68x + -6.36y + 3.55z <= 360.47
9.25x + 6.3y + 2.26z <= 388.45
-5.32x + -2.25y + 2.03z <= 906.85
-7.95x + -7.03y + 5.25z <= 601.37
0.41x + -6.03y + -5.55z <= 497.53
9.17x + 6.71y + -9.59z <= 390.45
-0.72x + -1.9y + 2.53z <= 359.59
9.18x + -3.26y + 0.16z <= 171.48
5.49x + 8.01y + -8.59z <= 241.45
4.32x + 0.13y + 1.32z <= 384.81
-4.75x + -8.73y + 2.32z <= 772.16
2.18x + 7.08y + -8.93z <= 483.38
5.08x + 6.79y + -0.72z <= 105.64
-7.14x + 7.96y + -8.74z <= 402.58
4.9x + -4.07y + 8.47z <= 913.17
2.95x + 5.21y + -3.08z <= 986.53
8.54x + 4.81y + -9.27z <= 260.39
1.31x + -5.29y + -3.4z <= 222.33
5.45x + 8.84y + 7.53z <= 705.46
4.77x + 5.85y + 1.16z <= 643.12
0.84x + -9.68y + -7.61z <= 342.74
6.13x + 0.79y + 2.5z <= 780.09
-9.03x + 2.94y + 3.84z <= 592.04
-0.5x + 6.6y + -0.08z <= 492.76
9.49x + -9.16y + -5.1z <= 588.27
5.41x + -6.73y + -3.79z <= 496.9
-6.14x + -3.78y + 6.8z <= 246.55
-8.32x + -2.52y + -1.52z <= 201.37
7.92x + -5.25y + -6.4z <= 583.57
5.54x + -2.94y + 7.82z <= 970.97
-2.24x + 9.91y + 1.83z <= 634.84
-8.25x + 5.88y + 1.56z <= 120.43
-6.22x + -3.98y + -3.73z <= 765.81
4.27x + -2.56y + 0.99z <= 674.74
5.62x + -5.44y + 9.93z <= 698.07
1.26x + -1.49y + 1.85z <= 754.09
-8.87x + -7.24y + -3.71z <= 386.17
3.84x + -2.88y + 2.94z <= 711.55
-0.18x + -6.55y + -5.11z <= 748.31
-5.83x + -9.54y + 1.71z <= 555.86
-2.52x + -9.63y + 4.33z <= 651.53
-8.96x + 7.89y + 2.19z <= 492.86
0.13x + 3.89y + 1.66z <= 862.8
2.2x + -8.14y + 3.52z <= 606.94
5.43x + 2.09y + -1.43z <= 687.42
3.77x + 0.24y + 7.24z <= 196.78
-6.84x + -3.96y + 6.74z <= 881.13
2.4x + -4.29y + 0.07z <= 486.87
-2.97x + 7.88y + -7.77z <= 583.96
-5.21x + 4.17y + 2.27z <= 116.17
0.92x + 3.86y + -0.16z <= 483.19
-6.63x + -9.17y + 4.47z <= 749.74
-4.75x + -4.07y + 5.09z <= 300.9
-4.26x + -2.9y + -4.45z <= 374.2
9.29x + 2.35y + 0.81z <= 360.92
-6.59x + -2.28y + -8.45z <= 807.37
6.54x + -2.96y + 7.34z <= 479.48
-3.17x + 0.41y + -0.22z <= 228.36
-1.89x + 5.96y + 0.45z <= 638.07
-9.83x + 2.47y + -1.83z <= 539.48
-1.84x + 3.53y + -7.27z <= 264.29
-2.44x + -2.24y + 8.94z <= 764.8
5.01x + -8.36y + -4.07z <= 219.69
-4.01x + -7.45y + -4.95z <= 292.93
-1.61x + -2.87y + -3.96z <= 781.44
5.12x + 9.97y + 8.94z <= 198.87
-6.68x + 5.51y + -4.38z <= 712.34
6.39x + 9.79y + -1.91z <= 178.52
-2.32x + 7.09y + 6.43z <= 987.38
5.6x + -8.4y + -8.66z <= 506.93
-3.49x + 5.49y + 2.19z <= 136.22
0.04x + 8.35y + 0.31z <= 936.27
5.87x + 5.51y + 5.27z <= 282.19
5.07x + -1.31y + 6.49z <= 320.01
-1.76x + -4.04y + -4.16z <= 607.55
-4.34x + -8.87y + -8.13z <= 540.35
-5.72x + -6.46y + 9.95z <= 914.87
9.7x + -6.99y + -6.37z <= 781.15
9.42x + -4.94y + -1.0z <= 926.92
2.26x + 0.82y + 5.97z <= 400.85
-6.69x + 9.28y + -3.26z <= 808.42
7.41x + 3.8y + 7.02z <= 259.02
-7.17x + 6.12y + -0.95z <= 747.98
-8.03x + -1.37y + -7.44z <= 888.45
-1.87x + 4.04y + -1.39z <= 932.54
8.83x + 0.6y + 0.05z <= 980.69
6.15x + 5.66y + -1.36z <= 635.82
-5.51x + -4.06y + -5.3z <= 900.34
-2.68x + -0.97y + -5.69z <= 991.87
-7.1x + 5.3y + 5.86z <= 565.14
-2.34x + 9.87y + 5.26z <= 770.04
3.38x + -3.28y + 1.51z <= 530.79
7.41x + -7.03y + -4.34z <= 477.24
-3.58x + 0.26y + -1.84z <= 350.06
-8.42x + -6.66y + 3.25z <= 112.79
-4.04x + -5.06y + 2.97z <= 947.02
4.46x + 1.18y + 3.13z <= 451.44
7.84x + 8.93y + 5.07z <= 360.08
-9.1x + -5.01y + 9.85z <= 829.88
-2.72x + 4.02y + 9.67z <= 649.31
-2.86x + -9.15y + 4.48z <= 837.96
8.83x + 6.18y + -6.51z <= 716.71
5.5x + 1.7y + -7.05z <= 841.31
7.61x + -5.7y + -9.41z <= 750.09
-4.29x + 2.96y + -4.07z <= 622.52
8.82x + 6.21y + 6.86z <= 556.24
-4.87x + -2.31y + 3.99z <= 440.25
0.18x + 6.48y + 3.69z <= 178.89
-9.4x + 7.75y + -9.63z <= 938.65
-9.56x + 4.27y + -7.95z <= 516.48
3.72x + 8.88y + -1.58z <= 762.19
0.16x + 5.91y + 0.79z <= 355.2
6.94x + -7.04y + -9.66z <= 244.49
1.85x + 2.83y + -5.06z <= 798.75
2.57x + 3.29y + 5.82z <= 826.49
-4.94x + -1.57y + 8.14z <= 635.38
-5.82x + -1.74y + -0.41z <= 814.55
9.4x + 1.1y + 6.73z <= 390.61
9.25x + 1.8y + -7.11z <= 212.48
4.03x + -6.52y + 9.24z <= 755.57
1.83x + 1.5y + -1.11z <= 295.9
0.47x + 0.96y + -2.03z <= 451.52
5.89x + -4.54y + -9.48z <= 616.53
-9.14x + -5.79y + -6.18z <= 277.83
5.16x + -8.07y + -0.25z <= 350.6
1.66x + 4.53y + -0.9z <= 238.43
9.16x + -5.08y + 8.14z <= 152.93
-2.04x + -3.39y + -5.13z <= 743.93
1.83x + -7.54y + 3.31z <= 607.8
-8.29x + 9.6y + 5.32z <= 413.53
0.47x + -8.8y + 1.96z <= 876.45
7.91x + -4.12y + -6.57z <= 672.3
6.49x + -9.47y + -4.8z <= 137.62
-1.21x + 1.6y + -1.67z <= 418.34
4.48x + -4.89y + 5.26z <= 113.38
3.94x + 6.13y + 7.07z <= 814.95
9.7x + -3.8y + 1.36z <= 535.9
-0.21x + -3.66y + 7.07z <= 930.91
-0.81x + -4.91y + -9.27z <= 166.18
-2.36x + 5.6y + 9.59z <= 213.26
-3.19x + -6.09y + 5.18z <= 752.27
-2.59x + 9.4y + -0.48z <= 940.0
-5.02x + -4.95y + 5.92z <= 896.29
2.76x + -9.69y + -2.67z <= 681.49
-8.8x + -9.27y + -2.57z <= 340.55
4.45x + -0.69y + 8.9z <= 793.69
-1.65x + -2.0y + -3.78z <= 626.69
-8.46x + -3.63y + 2.93z <= 619.58
3.09x + 2.85y + -1.1z <= 369.95
-0.37x + -1.73y + 4.45z <= 368.4
2.94x + 9.78y + 1.25z <= 260.06
-9.1x + 2.75y + 1.07z <= 607.03
5.8x + 5.7y + 8.45z <= 910.59
-8.05x + -2.89y + 4.73z <= 633.5
-3.09x + -0.34y + 7.73z <= 711.96
