max 9.47x + 1.74y + -4.7z
-3.33x + 9.86y + 9.89z <= 749.5
-7.1x + 8.3y + -7.33z <= 714.88
-8.13x + -6.34y + -1.78z <= 989.72
-1.2x + -5.5y + 3.46z <= 251.43
-1.6x + -8.81y + -8.9z <= 990.7
8.11x + 3.19y + -1.5z <= 104.08
2.13x + -2.89y + 6.35z <= 894.25
0.44x + 3.9y + 3.09z <= 714.77
9.67x + -2.81y + 0.83z <= 305.8
-7.04x + 0.28y + -5.94z <= 567.55
-1.03x + 1.96y + -6.14z <= 447.96
-8.27x + 4.14y + 6.37z <= 899.33
-5.73x + -1.17y + -5.1z <= 959.14
3.12x + 6.05y + -8.78z <= 302.49
-4.89x + -0.89y + 6.74z <= 798.61
-5.09x + -5.44y + -6.93z <= 376.21
0.18x + 5.1y + 8.78z <= 956.34
5.59x + 6.8y + -8.22z <= 931.25
3.97x + -4.11y + 5.45z <= 358.34
-8.25x + -9.49y + -9.35z <= 606.99
-4.76x + 3.56y + 3.41z <= 398.07
8.7x + 7.75y + -0.89z <= 399.21
2.22x + 7.57y + -7.33z <= 325.21
5.48x + 7.15y + 0.31z <= 271.59
3.24x + 8.12y + -8.02z <= 632.68
-1.49x + 1.24y + -7.27z <= 732.15
3.78x + -2.97y + -3.69z <= 947.48
8.75x + 9.73y + -8.75z <= 641.43
-1.16x + -6.6y + 8.85z <= 456.92
-1.8x + -1.31y + -0.47z <= 415.61
-8.82x + -9.52y + -4.22z <= 137.64
-4.24x + -1.31y + 2.53z <= 448.29
2.07x + 2.82y + -8.68z <= 335.06
-4.42x + -6.38y + 6.64z <= 812.72
-6.56x + 1.5y + 5.26z <= 377.08
-8.7x + -0.25y + 5.61z <= 883.73
0.04x + 1.6y + -3.1z <= 971.46
8.65x + -0.27y + 9.64z <= 832.47
-1.26x + -0.2y + -7.93z <= 857.57
-5.71x + 0.95y + -3.08z <= 132.03
-0.71x + -7.69y + 9.03z <= 312.42
0.92x + 1.43y + -1.24z <= 458.39
1.15x + 7.24y + 4.35z <= 442.62
-3.13x + -2.1y + -7.21z <= 334.12
5.44x + -6.45y + -7.57z <= 570.01
0.8x + -6.17y + -1.52z <= 358.0
-0.99x + 9.97y + 2.58z <= 543.62
-7.55x + 1.33y + 8.66z <= 391.1
-7.32x + -0.77y + -9.21z <= 379.16
4.61x + -6.59y + 7.04z <= 702.43
-8.95x + -4.71y + -8.26z <= 422.17
-1.29x + -6.47y + -5.79z <= 148.22
0.8x + -2.55y + 2.29z <= 327.02
-8.08x + 0.48y + 8.0z <= 264.69
-8.7x + 3.97y + 3.62z <= 276.07
5.9x + -5.34y + 3.17z <= 358.62
-7.4x + 5.44y + -0.33z <= 976.52
-8.01x + 0.1y + -5.23z <= 525.78
8.13x + 7.45y + 2.67z <= 542.61
-9.13x + -2.55y + -2.0z <= 305.8
-2.11x + 4.43y + 4.96z <= 363.25
9.39x + -9.42y + 8.96z <= 486.09
-5.31x + -2.88y + 0.87z <= 350.3
-3.35x + 2.22y + -8.0z <= 547.5
-6.06x + -2.24y + 8.24z <= 921.62
-7.21x + -9.24y + -0.85z <= 601.65
9.91x + 7.82y + 8.07z <= 719.1
1.11x + 7.56y + 9.93z <= 509.91
-1.73x + 9.47y + 5.91z <= 150.82
-2.18x + 8.2y + 2.07z <= 983.95
2.58x + -3.45y + 8.79z <= 338.95
-8.1x + 2.79y + 9.88z <= 229.97
7.8x + -4.92y + 6.57z <= 177.35
4.76x + 1.39y + -9.44z <= 326.0
0.02x + 0.37y + -3.05z <= 925.19
0.71x + -1.97y + -2.15z <= 862.85
8.57x + -5.03y + -0.22z <= 384.3
8.54x + -9.61y + 3.38z <= 213.88
4.83x + 8.99y + -7.23z <= 122.48
-3.64x + 8.83y + 1.41z <= 925.41
9.97x + 6.12y + -0.12z <= 556.68
9.62x + -7.38y + -8.19z <= 682.7
-8.73x + 4.43y + 5.82z <= 712.3
-7.66x + 5.99y + -1.54z <= 162.54
-9.2x + -4.02y + 7.92z <= 359.07
-3.74x + 4.55y + -6.38z <= 848.64
3.39x + 0.37y + -6.45z <= 339.82
-9.76x + -0.09y + 3.34z <= 733.85
-3.44x + -9.73y + 7.37z <= 708.24
9.89x + -0.31y + -8.69z <= 381.61
4.62x + 8.09y + -3.55z <= 341.25
2.94x + 6.94y + -9.36z <= 866.13
3.68x + 7.6y + 0.4z <= 256.68
3.31x + 8.17y + -6.11z <= 477.18
3.66x + -4.51y + 0.76z <= 949.92
6.76x + -1.0y + 6.65z <= 113.75
8.2x + -7.01y + -7.15z <= 357.43
-8.09x + 5.63y + -1.37z <= 588.3
-2.63x + 4.99y + -8.9z <= 610.34
3.52x + 9.7y + -7.28z <= 525.11
-6.06x + -1.54y + 0.7z <= 550.54
7.31x + 5.74y + -3.97z <= 368.45
-4.73x + 5.4y + 5.77z <= 885.02
5.73x + 5.25y + -0.58z <= 168.2
-6.71x + -5.33y + 6.23z <= 628.71
9.76x + 5.12y + -3.59z <= 754.94
1.21x + -5.86y + -7.38z <= 619.79
9.92x + -1.05y + 7.12z <= 322.92
-9.01x + 4.68y + -9.58z <= 393.92
-3.51x + -9.36y + -3.46z <= 602.13
-0.82x + -8.29y + 8.44z <= 941.16
1.14x + 7.51y + -9.13z <= 560.05
5.29x + 3.11y + 3.48z <= 151.56
5.26x + 7.39y + 4.33z <= 666.41
7.0x + -9.96y + -3.37z <= 842.46
-5.86x + -9.63y + -4.6z <= 540.32
-8.67x + 4.96y + -6.39z <= 513.43
-8.1x + -1.48y + 1.46z <= 529.62
9.32x + -9.31y + -4.14z <= 546.4
3.79x + 1.24y + 1.55z <= 508.16
6.28x + -1.42y + -9.86z <= 593.4
2.57x + 9.72y + 7.19z <= 685.03
3.49x + 3.7y + 8.1z <= 936.99
0.36x + 8.98y + 1.16z <= 775.9
-6.78x + 1.63y + -2.73z <= 535.51
8.62x + -6.42y + 6.17z <= 650.68
-0.85x + 6.03y + -0.53z <= 501.06
-8.64x + -1.88y + 6.61z <= 221.04
-2.68x + 5.03y + -4.73z <= 719.16
-3.43x + 0.28y + 6.11z <= 980.09
-3.66x + 0.85y + -0.43z <= 678.23
3.83x + -9.82y + 7.31z <= 435.37
-7.61x + 1.74y + 9.48z <= 396.43
1.82x + -6.21y + -5.97z <= 992.81
-8.11x + -5.66y + 4.37z <= 335.33
1.25x + -8.31y + -9.05z <= 730.2
8.23x + 0.88y + 2.66z <= 598.82
-8.28x + 1.44y + 4.14z <= 190.65
5.2x + 2.83y + -5.25z <= 585.66
5.7x + -0.21y + -5.87z <= 245.88
-5.21x + 5.1y + -6.38z <= 626.62
0.92x + -8.33y + -3.65z <= 971.33
-8.75x + -7.63y + -0.58z <= 715.06
-5.64x + 3.41y + 1.74z <= 395.98
5.46x + -2.54y + 2.84z <= 491.53
6.66x + -6.93y + -2.18z <= 278.36
8.98x + -5.36y + 8.81z <= 878.31
-6.0x + -2.81y + -8.63z <= 653.11
-8.35x + -5.86y + -5.58z <= 724.1
-8.77x + -0.93y + -0.07z <= 841.62
2.16x + 9.84y + 1.08z <= 114.49
-9.77x + -7.84y + -9.99z <= 274.36
0.01x + 1.52y + -9.29z <= 219.83
8.58x + -3.06y + 1.37z <= 195.24
7.94x + 8.67y + -0.81z <= 790.77
3.95x + 1.43y + 1.81z <= 314.87
-0.84x + 7.92y + -6.38z <= 159.61
-8.44x + 0.77y + -3.9z <= 441.0
5.53x + 5.44y + -7.04z <= 650.11
-7.73x + 4.22y + 9.73z <= 350.38
9.81x + -0.91y + 8.39z <= 669.18
7.37x + -0.74y + 5.26z <= 176.94
8.69x + 7.78y + 0.29z <= 454.05
6.7x + 1.96y + 2.4z <= 398.34
-5.79x + 6.61y + 7.15z <= 180.44
2.91x + 8.8y + 9.64z <= 194.45
-8.13x + 4.91y + -0.2z <= 521.05
-3.96x + -7.19y + -5.88z <= 903.77
-7.02x + -1.04y + 5.79z <= 912.28
-3.65x + 5.78y + -9.13z <= 437.43
-3.24x + -9.71y + -5.91z <= 323.99
-6.37x + -0.44y + -7.03z <= 178.24
-1.35x + -7.56y + -8.41z <= 997.53
3.8x + -0.33y + -4.58z <= 740.48
4.18x + 3.63y + 9.56z <= 695.11
-1.73x + -9.97y + -5.33z <= 266.59
-2.92x + 4.74y + 1.06z <= 730.35
-1.18x + -5.79y + -4.1z <= 153.9
-8.49x + -4.69y + -7.46z <= 650.25
-0.17x + -2.17y + -6.47z <= 230.3
0.05x + -6.62y + 7.58z <= 505.02
1.14x + -8.1y + 3.64z <= 415.49
-7.53x + -4.8y + 2.38z <= 353.22
9.78x + -1.47y + 2.41z <= 655.74
-2.08x + -3.69y + 5.24z <= 322.65
-3.14x + -2.36y + -7.24z <= 429.92
3.86x + -1.71y + 3.84z <= 892.37
-8.45x + 7.1y + 7.26z <= 338.88
8.09x + -4.11y + -1.23z <= 638.37
-1.45x + -8.37y + -6.21z <= 222.31
7.57x + 9.2y + 4.52z <= 599.77
2.39x + -5.48y + 0.5z <= 913.87
8.77x + 7.74y + 1.66z <= 813.03
-5.13x + 8.65y + 2.69z <= 124.96
-9.97x + 4.15y + 6.47z <= 867.75
9.86x + -9.18y + 8.86z <= 726.1
5.61x + 9.1y + -6.19z <= 910.66
-5.97x + 0.06y + 5.17z <= 824.57
8.55x + 0.35y + -1.11z <= 464.51
-5.54x + 5.2y + -8.42z <= 323.51
3.26x + -7.62y + -6.12z <= 986.27
6.62x + 6.33y + 0.84z <= 744.86
4.36x + -3.18y + -1.02z <= 868.7
-1.99x + -0.21y + -1.02z <= 431.44
-9.03x + -6.58y + -8.16z <= 331.56
-9.33x + -7.67y + 6.9z <= 700.03
0.42x + -6.4y + -0.71z <= 258.99
6.92x + 6.43y + 1.13z <= 990.06
-2.52x + 2.18y + -8.88z <= 333.54
-9.87x + 9.73y + -2.12z <= 484.75
7.64x + -5.54y + 3.52z <= 156.46
7.71x + 2.9y + -4.51z <= 609.47
-3.29x + -5.22y + -6.33z <= 472.83
1.68x + -6.07y + -9.84z <= 419.29
-7.79x + -1.67y + 7.83z <= 278.93
8.41x + -2.21y + -1.57z <= 942.52
-2.94x + 7.18y + -4.68z <= 522.09
7.28x + -5.2y + 4.41z <= 253.81
3.54x + -0.45y + -6.02z <= 685.39
9.99x + 4.01y + 3.5z <= 973.1
7.73x + -1.48y + 3.5z <= 883.98
-5.78x + 0.99y + -1.56z <= 539.76
2.89x + -8.57y + -4.94z <= 819.17
0.97x + -6.52y + 8.93z <= 176.42
9.47x + -6.96y + 8.26z <= 400.1
8.46x + 8.32y + 3.69z <= 431.67
-2.03x + -7.75y + -9.89z <= 772.36
3.23x + -8.4y + 6.05z <= 882.63
1.63x + 0.79y + -3.43z <= 224.03
-1.19x + -5.21y + -8.74z <= 723.24
6.37x + -8.41y + 7.77z <= 768.23
-1.73x + -3.01y + 1.18z <= 434.2
1.65x + -6.39y + 0.96z <= 312.55
7.32x + -6.84y + 1.66z <= 583.45
-7.56x + -8.88y + -7.37z <= 136.17
7.17x + 7.63y + -6.5z <= 717.05
8.87x + -7.84y + -6.19z <= 905.46
-2.22x + -1.08y + -1.26z <= 694.67
0.79x + -4.67y + -4.71z <= 500.78
-6.22x + -9.09y + -6.25z <= 541.64
4.12x + -6.84y + 3.84z <= 937.43
-5.8x + 3.2y + -3.98z <= 705.71
-4.48x + -5.47y + 0.08z <= 631.28
-9.49x + -4.82y + 0.91z <= 435.28
-9.71x + -0.82y + 1.62z <= 371.15
4.91x + -5.03y + -3.83z <= 445.9
-6.63x + -3.7y + -9.79z <= 710.03
-4.13x + -7.52y + -3.58z <= 124.35
0.02x + 4.73y + -2.29z <= 635.69
7.58x + 1.04y + -0.4z <= 278.96
-3.75x + -4.96y + 8.47z <= 777.3
2.11x + 7.37y + -0.25z <= 978.03
-1.88x + -4.31y + 1.78z <= 644.82
2.68x + 1.1y + 8.91z <= 954.96
8.61x + 2.13y + -0.15z <= 147.95
-0.8x + -4.45y + -6.33z <= 668.69
-2.15x + -5.01y + -0.35z <= 770.98
-0.59x + -2.37y + 5.61z <= 183.22
1.67x + 3.8y + -8.94z <= 353.49
6.83x + -9.76y + -7.33z <= 892.6
5.38x + 4.18y + 0.73z <= 106.51
5.89x + -4.11y + 3.65z <= 567.7
5.32x + -3.86y + 9.25z <= 573.15
-2.2x + -6.74y + -8.22z <= 253.21
5.39x + -0.16y + -1.77z <= 775.24
3.58x + 7.48y + -0.95z <= 173.01
-2.11x + -7.9y + 3.42z <= 391.53
0.26x + -8.92y + 4.27z <= 848.07
-6.86x + -4.25y + -1.62z <= 780.18
7.32x + 3.33y + 5.56z <= 488.07
-4.55x + -7.45y + 2.67z <= 388.92
-4.7x + -8.64y + -8.43z <= 845.84
5.72x + -2.73y + -2.87z <= 577.62
3.94x + 7.82y + -6.67z <= 382.42
4.21x + 0.48y + 9.2z <= 605.45
-6.12x + 4.26y + 2.51z <= 235.9
4.84x + -7.36y + -1.8z <= 144.58
-8.29x + -4.54y + 3.33z <= 280.75
0.11x + -7.73y + 8.15z <= 357.98
-1.44x + 3.1y + -4.69z <= 234.48
-8.44x + -4.18y + -7.15z <= 598.34
7.83x + -4.41y + 7.18z <= 520.1
2.75x + -6.92y + -7.51z <= 117.99
8.47x + -7.02y + -9.72z <= 701.17
-0.56x + -5.63y + -2.98z <= 907.31
6.8x + 7.59y + -2.91z <= 783.34
-6.28x + 1.68y + -4.34z <= 488.51
1.73x + 1.83y + -8.46z <= 539.34
-2.72x + 7.98y + 3.29z <= 655.67
5.78x + 3.32y + -5.57z <= 713.26
1.79x + 1.18y + 2.05z <= 386.54
-4.62x + -6.56y + 4.36z <= 983.83
7.84x + -3.04y + 2.15z <= 875.91
-9.94x + -5.75y + 7.42z <= 202.12
0.28x + 6.22y + -4.23z <= 561.53
-0.15x + 8.88y + 9.57z <= 778.72
3.03x + 3.18y + -9.57z <= 136.98
-4.15x + 0.95y + -2.63z <= 602.3
7.49x + 7.3y + -0.66z <= 196.55
0.52x + -1.47y + -3.91z <= 322.32
-1.2x + 3.23y + 8.58z <= 512.53
6.26x + -9.69y + 1.0z <= 983.76
-1.68x + 9.77y + -3.33z <= 579.04
2.26x + 3.01y + -2.09z <= 386.38
1.46x + -9.46y + 2.94z <= 252.14
-9.58x + 1.99y + -1.54z <= 388.22
-4.02x + 4.72y + -8.02z <= 467.76
2.18x + 2.39y + 2.2z <= 149.76
9.39x + 9.9y + -0.57z <= 773.68
-4.91x + 2.13y + 8.48z <= 124.12
2.3x + 2.79y + -5.84z <= 500.95
7.39x + 7.59y + -5.37z <= 342.94
6.44x + 0.29y + 6.05z <= 358.42
-2.48x + 2.23y + 0.14z <= 136.55
6.36x + 7.68y + -3.59z <= 178.68
1.2x + -8.64y + 5.18z <= 438.05
-4.98x + 0.76y + -8.63z <= 681.46
-9.74x + 4.32y + 5.97z <= 201.05
-4.39x + -1.73y + -7.97z <= 826.12
-8.34x + 3.29y + -1.33z <= 299.61
-8.04x + 0.76y + -9.0z <= 208.29
4.16x + -6.65y + 5.69z <= 421.64
1.12x + 2.52y + 1.88z <= 448.55
-6.08x + 7.78y + -9.79z <= 607.1
-1.29x + -6.07y + 7.14z <= 402.38
-1.85x + -3.36y + 3.01z <= 328.17
-4.62x + 4.79y + 6.2z <= 809.46
-5.07x + 9.31y + 8.62z <= 318.78
-3.66x + 2.56y + -9.83z <= 655.11
0.37x + 1.5y + 7.17z <= 554.66
-5.65x + -9.66y + 1.71z <= 263.83
4.76x + 7.87y + -9.31z <= 188.72
7.29x + 1.84y + 2.7z <= 426.07
-1.41x + 9.89y + 4.75z <= 945.36
-2.05x + -0.11y + 3.67z <= 566.66
-8.29x + 6.59y + -6.23z <= 892.05
-5.06x + 6.29y + -1.19z <= 175.97
-0.28x + -8.77y + 0.79z <= 346.35
-1.63x + -0.85y + -7.9z <= 631.99
-3.19x + -9.68y + -6.72z <= 973.59
3.06x + -3.07y + 9.01z <= 194.77
3.71x + -6.88y + -4.15z <= 724.3
-4.23x + -5.78y + -2.21z <= 133.08
5.96x + -0.75y + 0.36z <= 377.2
6.88x + -2.03y + -6.37z <= 189.36
-2.31x + 1.05y + -5.06z <= 619.71
8.03x + 0.26y + 3.72z <= 887.99
1.59x + 8.91y + 0.56z <= 894.0
-4.36x + -9.64y + -2.56z <= 992.04
9.72x + 8.48y + -0.27z <= 249.26
9.42x + -1.45y + 7.87z <= 985.17
5.47x + 5.48y + 3.06z <= 149.63
9.42x + -7.94y + 0.3z <= 882.69
-3.61x + 9.09y + 4.79z <= 513.0
1.26x + 2.42y + 8.99z <= 977.94
-8.42x + -8.9y + 1.62z <= 765.55
-6.77x + -6.25y + -3.0z <= 926.49
8.6x + -0.85y + -9.23z <= 939.08
-6.74x + 7.88y + -5.19z <= 431.36
2.48x + 6.75y + 5.95z <= 583.5
5.07x + -2.84y + 1.37z <= 970.59
-1.78x + 4.41y + 8.06z <= 672.89
-0.06x + -1.88y + -2.85z <= 632.87
1.33x + 4.35y + -2.51z <= 266.13
3.52x + 4.06y + -2.31z <= 938.24
3.89x + 3.51y + 1.08z <= 793.21
-0.3x + -2.11y + 0.11z <= 993.53
-0.36x + -9.5y + 7.43z <= 295.15
-3.92x + 5.1y + -0.58z <= 166.45
3.25x + 2.06y + 5.68z <= 823.24
5.27x + 2.46y + -3.53z <= 800.79
1.37x + -6.55y + 5.19z <= 370.59
-2.23x + 4.03y + 9.31z <= 723.09
3.34x + 1.59y + 8.42z <= 958.7
5.66x + 9.34y + 3.66z <= 449.22
0.69x + -2.03y + -2.66z <= 709.34
-8.89x + 8.51y + 8.13z <= 256.92
7.03x + -9.99y + 5.33z <= 673.86
0.44x + -5.95y + -0.17z <= 216.15
8.92x + -2.01y + 1.12z <= 675.1
-7.37x + -6.87y + 9.97z <= 549.69
4.55x + 9.62y + -6.15z <= 376.18
3.37x + -0.92y + 5.43z <= 341.74
-4.74x + -0.73y + -2.52z <= 109.79
-8.69x + -3.09y + 8.68z <= 508.45
4.99x + -0.13y + -0.91z <= 921.63
3.02x + -5.18y + 3.86z <= 931.7
8.36x + -9.95y + -4.73z <= 204.62
2.81x + 5.5y + -0.03z <= 502.51
-0.78x + 0.25y + 1.11z <= 147.78
-6.88x + -5.57y + 0.67z <= 972.66
4.43x + -4.0y + 9.07z <= 837.72
-6.13x + 9.5y + -0.36z <= 243.62
7.78x + 9.48y + 0.8z <= 774.92
1.19x + -7.33y + -9.02z <= 960.04
-2.13x + 6.0y + -8.1z <= 346.83
8.77x + 6.68y + -2.3z <= 579.22
-2.02x + 8.49y + -5.13z <= 873.52
0.08x + -1.88y + 8.1z <= 808.68
-9.04x + 4.78y + -6.83z <= 331.89
4.29x + 1.6y + -7.55z <= 776.24
5.61x + 9.15y + 3.49z <= 603.47
9.87x + -4.89y + -4.19z <= 883.3
-2.8x + -5.24y + -0.57z <= 136.58
-8.47x + -2.53y + 0.4z <= 750.42
5.42x + 4.65y + -7.4z <= 149.79
1.92x + 4.19y + -5.46z <= 673.48
9.15x + -4.93y + -5.86z <= 370.15
5.32x + -2.71y + 6.34z <= 253.49
-9.53x + -1.75y + -5.34z <= 831.52
-8.7x + 4.99y + -8.91z <= 996.47
0.16x + -0.93y + 7.7z <= 417.33
-9.05x + -7.62y + -1.69z <= 612.8
5.99x + 0.04y + -2.8z <= 228.63
9.01x + 9.16y + -4.38z <= 590.12
1.76x + 5.9y + -4.04z <= 413.05
-8.49x + -6.78y + 5.32z <= 848.49
6.55x + -3.13y + 1.74z <= 773.71
-2.91x + -1.74y + 6.58z <= 586.33
6.89x + -9.1y + 1.5z <= 641.19
-4.91x + 8.47y + 6.99z <= 324.63
-8.98x + -9.94y + -6.03z <= 137.06
7.57x + -4.77y + -2.53z <= 134.29
-2.07x + 5.68y + -5.94z <= 928.27
7.97x + -1.53y + -0.2z <= 529.79
9.19x + 7.46y + 7.72z <= 700.5
-9.47x + -7.65y + 5.6z <= 799.62
8.35x + -7.91y + 3.16z <= 404.33
-2.87x + -2.18y + 6.94z <= 797.88
5.77x + 0.05y + 9.59z <= 411.32
7.98x + -7.0y + -3.77z <= 709.75
7.02x + 7.53y + 0.92z <= 998.4
-7.39x + 9.62y + -2.12z <= 748.03
-2.59x + 4.84y + 4.6z <= 653.69
6.07x + 4.19y + 7.74z <= 131.94
-4.32x + 4.12y + 2.01z <= 750.5
-0.12x + -6.1y + -2.38z <= 496.89
-2.37x + -4.96y + -9.82z <= 986.25
-9.21x + 9.77y + 6.78z <= 818.91
-6.74x + 8.14y + 7.9z <= 525.19
8.75x + -8.45y + 2.54z <= 328.0
-1.54x + -3.95y + -3.75z <= 149.55
-3.6x + 1.11y + 5.55z <= 415.68
6.06x + 4.33y + -2.75z <= 210.25
8.74x + -6.34y + -0.46z <= 355.68
-1.21x + -2.52y + -8.12z <= 608.0
4.62x + -2.6y + -5.54z <= 528.28
-9.28x + -2.41y + -4.23z <= 820.37
-0.68x + -7.35y + 3.21z <= 621.48
0.57x + -3.96y + 0.29z <= 903.27
6.92x + -4.48y + 1.38z <= 167.88
-6.8x + -0.31y + 8.74z <= 315.98
-3.89x + 0.35y + -9.72z <= 701.49
4.56x + -9.94y + 1.29z <= 209.22
1.57x + 9.36y + 0.14z <= 986.13
-6.63x + 1.31y + -8.77z <= 936.71
-9.34x + 7.45y + -9.5z <= 483.58
8.03x + -8.21y + -7.19z <= 907.22
-1.81x + -0.2y + -6.24z <= 962.1
0.98x + -6.15y + -2.93z <= 448.24
-7.6x + 9.02y + 0.78z <= 493.43
-7.77x + 1.1y + -2.31z <= 475.59
9.51x + 5.44y + -4.14z <= 845.18
5.77x + 6.93y + 0.04z <= 192.73
-4.29x + -2.51y + 3.38z <= 389.13
0.62x + -7.76y + 1.87z <= 153.56
-5.4x + -3.81y + -5.84z <= 635.94
6.75x + 1.61y + -8.36z <= 200.36
5.56x + 7.86y + -9.45z <= 433.96
-3.42x + -7.69y + -1.59z <= 703.58
-6.53x + -5.34y + 0.28z <= 371.75
-6.68x + 3.37y + -6.65z <= 111.18
-0.13x + 6.43y + 4.59z <= 467.02
-7.37x + -1.47y + 8.16z <= 760.82
8.71x + 0.29y + -1.57z <= 315.79
-3.14x + 4.49y + -3.18z <= 238.69
-5.33x + 4.6y + -0.21z <= 343.72
-4.03x + -1.94y + 7.54z <= 250.25
-3.78x + 2.77y + 4.86z <= 385.34
-8.11x + 5.07y + 5.52z <= 916.09
-4.42x + -3.59y + -4.93z <= 427.46
2.8x + 2.25y + -6.22z <= 293.05
-4.98x + 9.44y + 2.6z <= 922.18
-5.56x + -2.51y + -3.31z <= 165.8
6.51x + 2.66y + 4.87z <= 865.79
-3.91x + 8.18y + 5.31z <= 142.49
-1.06x + -1.91y + -1.22z <= 330.11
6.17x + 8.29y + -5.32z <= 302.88
6.5x + -6.18y + -5.45z <= 516.99
6.45x + 5.16y + -5.12z <= 443.2
9.78x + 6.36y + 8.6z <= 912.11
7.23x + 8.28y + -7.87z <= 881.69
-2.97x + 5.92y + -4.54z <= 917.05
1.96x + -9.55y + -0.15z <= 364.6
8.93x + 2.73y + -0.97z <= 274.66
-6.93x + 8.65y + 9.12z <= 562.83
-8.26x + 1.3y + 5.54z <= 283.62
6.1x + 5.49y + -4.71z <= 460.55
9.18x + 9.07y + -7.99z <= 527.24
-2.28x + 0.79y + -6.26z <= 575.47
-9.81x + -3.75y + 7.36z <= 154.48
6.2x + 4.23y + 5.53z <= 528.87
-2.34x + -7.39y + -8.68z <= 711.08
-8.03x + -5.34y + -6.8z <= 390.29
-7.2x + 0.31y + 3.8z <= 397.4
-1.56x + 1.2y + -6.41z <= 375.63
-5.92x + 1.82y + 5.19z <= 195.02
6.57x + -0.81y + -9.86z <= 813.88
-4.17x + 6.83y + -8.9z <= 328.34
-5.52x + 3.85y + -3.3z <= 928.9
5.09x + -6.35y + 7.99z <= 221.06
0.21x + -0.71y + -1.92z <= 226.87
3.38x + 5.87y + -8.71z <= 462.4
2.33x + -3.37y + 5.38z <= 812.22
1.48x + 3.12y + 0.64z <= 137.16
2.66x + 3.53y + -9.64z <= 976.65
-3.48x + 2.37y + -1.31z <= 584.52
-7.23x + -7.18y + 7.05z <= 859.03
-6.73x + 7.17y + 5.05z <= 260.91
3.75x + -6.75y + 3.46z <= 164.18
8.14x + 8.41y + 3.69z <= 565.64
8.73x + 0.96y + -0.54z <= 883.52
3.62x + -3.02y + -2.86z <= 570.54
-8.37x + -3.03y + -8.91z <= 416.63
8.18x + -1.89y + 9.08z <= 993.71
-2.27x + 9.09y + -3.93z <= 510.5
2.45x + -9.27y + -0.08z <= 628.39
-4.17x + 4.67y + -1.36z <= 416.74
-3.98x + -9.5y + 4.43z <= 383.32
9.7x + 0.36y + -4.82z <= 362.72
-8.98x + -1.61y + 3.95z <= 288.71
9.38x + -5.78y + 8.4z <= 413.17
1.6x + -6.75y + 6.57z <= 568.1
3.95x + 9.04y + 3.66z <= 798.93
-4.99x + 0.38y + 2.46z <= 247.73
3.13x + 6.18y + -1.56z <= 668.21
2.8x + 3.15y + -3.64z <= 950.84
0.88x + 9.95y + -8.77z <= 990.48
1.18x + -1.83y + 2.74z <= 919.0
9.33x + -0.7y + -8.82z <= 829.37
2.57x + 7.09y + 4.3z <= 332.67
-9.2x + -1.84y + -8.77z <= 348.84
1.82x + 5.25y + -7.11z <= 256.53
3.83x + 8.34y + -7.97z <= 288.1
-5.34x + 3.11y + -2.19z <= 399.66
7.64x + -0.06y + -0.62z <= 995.95
-8.18x + -5.03y + -1.8z <= 554.49
2.93x + -6.34y + -9.65z <= 303.85
-0.93x + 2.45y + 8.06z <= 283.98
1.29x + 5.41y + 0.97z <= 945.93
3.51x + -4.34y + -0.58z <= 170.71
-9.81x + -6.11y + -2.76z <= 134.47
-4.59x + 2.48y + 8.07z <= 567.19
-6.56x + -1.19y + 6.36z <= 125.63
-3.23x + -1.33y + 0.17z <= 349.79
-2.18x + -4.29y + -4.08z <= 906.79
-8.53x + 3.49y + 8.92z <= 505.42
6.49x + -4.52y + 2.04z <= 580.21
2.39x + 9.52y + -0.77z <= 684.5
-0.85x + 1.33y + 1.68z <= 712.91
-2.33x + 0.07y + -2.4z <= 533.34
-2.8x + 7.45y + -3.21z <= 222.13
2.25x + 1.75y + 1.23z <= 634.43
5.47x + 7.98y + -3.22z <= 826.76
1.74x + -5.37y + 2.73z <= 507.86
5.24x + -3.61y + -3.67z <= 343.81
-4.74x + -5.37y + -8.1z <= 869.84
-5.41x + 2.02y + 7.21z <= 495.9
-5.68x + -7.57y + 2.37z <= 854.07
4.15x + -5.46y + 0.23z <= 236.02
-3.35x + -3.12y + -9.64z <= 691.67
1.26x + 4.79y + 2.79z <= 976.37
-4.48x + 4.21y + 4.7z <= 259.56
7.62x + -4.15y + 1.06z <= 319.08
2.72x + -2.72y + -7.97z <= 143.78
-5.36x + 3.16y + -7.48z <= 297.22
-4.66x + -9.55y + -1.77z <= 482.47
-2.99x + 9.44y + 7.21z <= 546.51
-4.74x + 4.86y + 8.54z <= 654.59
1.4x + 5.73y + 3.82z <= 212.58
-9.12x + -1.34y + 2.32z <= 736.47
8.23x + 7.88y + -7.68z <= 219.66
-3.52x + -1.64y + -3.83z <= 452.58
-4.26x + -4.88y + 6.8z <= 506.79
4.7x + 2.13y + -6.71z <= 542.37
9.5x + 5.06y + -4.99z <= 279.89
7.37x + -9.06y + -2.22z <= 502.43
-3.54x + 6.25y + -9.71z <= 556.45
4.34x + 3.65y + -8.05z <= 932.47
-7.09x + 1.03y + -9.22z <= 635.33
7.25x + -5.33y + 8.77z <= 435.81
9.68x + -7.75y + 4.19z <= 147.43
5.91x + 5.28y + -8.44z <= 511.68
-1.52x + -2.87y + -9.42z <= 462.35
-3.92x + 6.48y + -3.06z <= 919.21
