max -7.92x + -0.77y + -8.39z
9.11x + 2.43y + -1.36z <= 982.62
2.62x + -3.2y + 0.99z <= 931.81
7.69x + 0.59y + -2.56z <= 957.46
3.03x + -4.36y + 0.97z <= 887.81
9.83x + 7.1y + 4.57z <= 704.22
-2.53x + 9.32y + 9.52z <= 706.24
-7.04x + -9.59y + -1.42z <= 515.19
1.58x + -5.56y + 4.81z <= 965.88
-7.53x + -5.34y + -6.4z <= 301.26
1.32x + 7.78y + -6.78z <= 784.37
9.61x + -4.93y + 4.94z <= 357.68
-2.63x + 4.29y + -1.33z <= 878.76
7.69x + 7.25y + -9.12z <= 176.75
3.36x + -7.42y + -1.64z <= 354.98
-5.07x + -6.24y + 1.65z <= 892.33
5.29x + -9.76y + 5.32z <= 973.02
4.73x + 1.89y + 8.5z <= 387.37
-5.38x + -1.58y + -3.51z <= 379.2
4.34x + -3.22y + 0.92z <= 561.19
-2.73x + -8.52y + -3.25z <= 904.82
-7.77x + 4.97y + 8.82z <= 216.34
-5.85x + 6.27y + 4.59z <= 873.38
7.2x + 9.33y + 3.95z <= 603.19
7.14x + -1.6y + 7.72z <= 426.26
-7.82x + -4.85y + -4.43z <= 168.51
7.21x + 8.68y + -2.73z <= 680.51
-1.11x + 6.93y + 7.81z <= 948.09
-7.39x + 6.68y + 8.71z <= 260.6
3.49x + -7.04y + -5.87z <= 210.16
9.92x + -8.34y + -7.48z <= 368.74
-0.43x + 1.88y + 7.9z <= 873.16
-5.47x + -2.92y + -0.45z <= 980.6
2.2x + -2.7y + 4.25z <= 753.48
5.08x + -9.68y + -0.88z <= 301.61
-7.03x + 6.4y + -5.92z <= 434.86
-2.91x + -5.36y + 8.77z <= 590.09
4.71x + 7.9y + -1.3z <= 557.29
2.79x + -2.26y + -1.76z <= 758.44
-3.76x + 5.24y + 9.74z <= 346.53
-2.4x + -5.7y + -1.08z <= 708.38
1.39x + -9.53y + -4.6z <= 638.45
2.74x + -9.82y + 6.09z <= 739.95
9.08x + 9.47y + 9.92z <= 541.09
-5.75x + 8.9y + -0.47z <= 943.45
6.12x + 5.62y + 4.94z <= 417.72
-4.15x + -0.11y + -8.9z <= 998.63
1.67x + -1.64y + -2.45z <= 212.68
-9.17x + -5.73y + 7.33z <= 445.25
-2.18x + 8.55y + -4.61z <= 283.86
9.31x + -7.31y + -5.19z <= 378.9
-4.94x + -0.14y + 2.74z <= 152.14
3.55x + 1.62y + -5.37z <= 432.01
-4.58x + -9.44y + 2.09z <= 619.25
-5.21x + 8.62y + 1.22z <= 394.42
-0.19x + 2.43y + 3.49z <= 442.65
-6.67x + 1.6y + 4.98z <= 979.06
-1.7x + 5.8y + -3.38z <= 200.15
0.61x + 2.07y + -9.11z <= 916.78
8.05x + 7.44y + -4.27z <= 909.67
-8.95x + -7.95y + -0.1z <= 347.01
-4.69x + 8.3y + -1.99z <= 447.65
2.84x + 3.29y + 7.29z <= 742.12
0.7x + -5.01y + 0.43z <= 211.94
-3.6x + 3.28y + 2.09z <= 906.25
3.53x + -2.57y + -6.31z <= 429.1
9.74x + -0.6y + 4.11z <= 630.52
-5.54x + -7.71y + -2.66z <= 348.74
-5.6x + 5.15y + 2.55z <= 692.9
-1.94x + -3.84y + -5.74z <= 830.87
3.1x + 6.27y + 9.89z <= 535.24
-4.35x + 9.77y + 2.34z <= 110.87
-3.81x + -8.68y + -7.67z <= 784.17
4.13x + 5.06y + 5.59z <= 310.12
-4.34x + 4.54y + -0.76z <= 682.57
-1.2x + 6.49y + -2.63z <= 190.41
3.45x + 2.32y + -4.66z <= 976.08
7.75x + 9.03y + -5.46z <= 913.09
-7.75x + 0.9y + 9.62z <= 818.25
7.43x + -4.68y + -3.44z <= 832.55
1.79x + 4.96y + 8.68z <= 426.55
-9.48x + -5.06y + 6.99z <= 268.88
-7.62x + 7.29y + -7.45z <= 991.91
-4.2x + -8.74y + -7.43z <= 878.34
-3.94x + -8.61y + 7.82z <= 633.1
7.88x + -1.35y + 4.58z <= 970.8
7.17x + 0.73y + 1.61z <= 298.97
5.54x + -1.36y + 9.27z <= 314.31
7.0x + -2.81y + 4.16z <= 803.5
-9.3x + 0.81y + 7.78z <= 481.61
-5.71x + -9.71y + -1.6z <= 932.24
8.43x + 1.79y + -3.76z <= 418.84
8.24x + -7.09y + 6.25z <= 668.46
-4.06x + -5.1y + 5.34z <= 690.07
4.04x + 2.33y + 0.35z <= 194.41
-6.75x + 4.04y + 8.4z <= 113.59
3.35x + 9.28y + 4.9z <= 836.85
5.03x + 3.27y + -6.66z <= 800.22
6.55x + 7.52y + -2.62z <= 997.98
-9.57x + -5.58y + 6.88z <= 239.43
-5.74x + 3.29y + -9.35z <= 361.23
-9.88x + 1.91y + 9.72z <= 261.68
-7.42x + -3.09y + 7.26z <= 329.65
-8.43x + 7.85y + -9.94z <= 818.74
-7.9x + -5.21y + -8.5z <= 163.39
5.08x + -0.59y + 4.18z <= 435.6
1.31x + -0.4y + -8.35z <= 894.44
-5.14x + -6.78y + 4.22z <= 954.78
8.18x + -5.78y + -9.38z <= 437.21
3.19x + -6.29y + -6.15z <= 970.79
-7.71x + -0.67y + -1.21z <= 635.22
-6.93x + -1.61y + -8.2z <= 879.57
-5.68x + 1.92y + 1.21z <= 521.24
9.16x + 0.98y + -7.2z <= 341.55
-6.11x + 3.04y + -3.49z <= 363.49
3.88x + -1.92y + 0.74z <= 555.89
0.35x + 2.52y + 0.42z <= 609.59
7.47x + 5.95y + 2.3z <= 197.94
2.54x + -9.18y + -8.42z <= 795.57
1.41x + -5.41y + 9.23z <= 943.95
3.33x + -8.24y + 9.34z <= 453.32
3.51x + -3.01y + -3.32z <= 248.12
-3.52x + 3.89y + -2.11z <= 215.61
0.94x + -8.39y + -2.99z <= 946.21
-1.73x + -6.1y + 3.36z <= 424.59
6.66x + 7.56y + 2.2z <= 744.51
-2.92x + 5.82y + 5.06z <= 617.52
-9.63x + -9.5y + 2.91z <= 866.48
-2.83x + 6.04y + -2.46z <= 820.18
-8.95x + 0.79y + 1.35z <= 739.5
-6.69x + -1.99y + 5.75z <= 609.83
-6.17x + -3.7y + -2.2z <= 445.23
-2.96x + -8.26y + 9.14z <= 650.35
3.19x + 8.52y + 8.24z <= 448.84
2.16x + 0.81y + 6.97z <= 382.32
-1.57x + 0.18y + -2.5z <= 823.33
-4.79x + 4.85y + -0.62z <= 355.86
3.07x + -0.89y + 4.36z <= 229.03
7.64x + 5.09y + -8.81z <= 435.75
8.82x + -5.84y + 8.97z <= 807.4
-6.15x + -8.4y + -1.59z <= 632.95
-1.16x + 3.1y + -8.52z <= 145.32
5.76x + 7.15y + 1.72z <= 935.25
1.37x + -8.82y + 8.24z <= 280.32
2.1x + -2.6y + -3.07z <= 940.49
3.2x + -4.43y + 6.47z <= 262.38
8.19x + -3.48y + 6.45z <= 341.55
0.2x + -8.0y + -4.64z <= 386.97
1.22x + -7.16y + -7.17z <= 178.81
-0.49x + 6.0y + 2.89z <= 950.92
-0.51x + -3.65y + -2.76z <= 220.72
5.48x + 3.71y + 6.17z <= 870.59
-7.51x + 7.5y + 9.65z <= 691.82
4.22x + -1.36y + 7.7z <= 885.42
-0.54x + 8.52y + 1.59z <= 873.62
-1.03x + -5.84y + -0.79z <= 416.62
3.0x + 4.95y + -2.09z <= 838.15
5.5x + 9.95y + -2.62z <= 317.9
4.66x + 3.93y + -4.22z <= 293.24
-0.62x + 4.68y + 7.24z <= 770.48
-6.29x + -1.59y + -2.64z <= 114.66
2.02x + 8.98y + -2.74z <= 641.19
5.1x + 0.63y + -6.79z <= 373.52
-3.44x + -8.48y + -0.95z <= 948.68
-5.04x + -0.49y + -1.0z <= 150.25
-3.4x + -1.28y + -8.83z <= 354.6
0.2x + 7.42y + -7.76z <= 889.96
-1.98x + -4.56y + -7.74z <= 269.9
8.38x + -8.51y + -9.97z <= 596.95
0.51x + -4.7y + -7.42z <= 563.56
-3.66x + -7.18y + 0.77z <= 240.25
-6.96x + 4.1y + -7.55z <= 555.3
-7.76x + 1.55y + -7.48z <= 924.4
2.24x + -0.68y + 0.86z <= 356.21
-2.67x + -2.87y + 6.66z <= 532.29
4.91x + 6.48y + 7.16z <= 334.58
-2.28x + -6.76y + -4.37z <= 901.02
6.9x + -5.95y + -1.63z <= 862.51
0.22x + 6.69y + 6.8z <= 963.18
6.93x + -9.77y + -0.98z <= 605.66
2.89x + -5.95y + 0.67z <= 113.32
-9.99x + -10.0y + -0.18z <= 733.11
9.65x + 1.84y + 7.43z <= 887.89
-5.37x + 9.19y + -4.94z <= 770.22
-8.37x + -5.2y + -4.95z <= 902.26
-0.17x + 6.88y + -9.72z <= 252.33
-3.63x + 4.94y + -1.28z <= 347.78
-8.59x + 6.46y + 6.5z <= 228.45
-9.24x + -4.92y + -4.02z <= 415.12
-4.93x + -9.91y + -5.04z <= 391.17
-1.65x + 6.32y + 0.89z <= 644.55
-7.14x + -5.61y + -6.04z <= 828.12
-3.66x + -9.53y + -7.67z <= 600.8
-6.77x + 2.4y + 2.66z <= 478.64
4.5x + 5.1y + -8.15z <= 735.16
-3.2x + -7.85y + 5.08z <= 480.08
-7.63x + 4.41y + 6.13z <= 278.19
-9.01x + 2.73y + -5.28z <= 414.84
-3.53x + -2.9y + 7.62z <= 835.66
-8.73x + 1.67y + 9.0z <= 283.57
-6.6x + 1.09y + 3.41z <= 761.45
-6.51x + -5.98y + 3.4z <= 804.66
4.47x + -4.17y + -3.58z <= 986.44
-7.25x + 2.12y + 5.07z <= 390.53
3.36x + -5.08y + -1.2z <= 287.71
8.86x + 2.11y + 8.25z <= 173.26
-9.69x + 0.61y + -1.26z <= 730.76
-5.84x + -7.18y + 8.77z <= 465.64
2.4x + 9.36y + -4.0z <= 952.47
-1.69x + 5.98y + -8.45z <= 959.94
-5.75x + 6.04y + 3.27z <= 501.83
-6.17x + -3.61y + 3.2z <= 520.45
-2.56x + 1.24y + -7.18z <= 790.17
6.89x + -8.41y + -7.89z <= 934.82
-0.01x + 8.4y + 1.15z <= 537.92
-1.18x + -5.0y + -6.62z <= 692.57
1.59x + 1.04y + 4.31z <= 750.36
-4.11x + 6.35y + 7.38z <= 600.1
3.62x + -6.95y + 2.71z <= 743.77
2.76x + -4.54y + -8.85z <= 851.29
5.14x + 9.5y + 6.11z <= 324.25
8.46x + 7.93y + 3.89z <= 681.52
-8.14x + 1.88y + -8.27z <= 895.58
5.72x + 8.29y + 6.06z <= 806.51
7.52x + -5.77y + -9.17z <= 492.41
-7.63x + 9.48y + 6.04z <= 959.27
10.0x + -2.44y + 0.93z <= 724.17
7.56x + 2.49y + -0.36z <= 186.04
-3.81x + 9.39y + 3.17z <= 352.64
-9.5x + -5.48y + -4.71z <= 999.44
7.49x + 3.22y + -9.23z <= 855.23
9.16x + -2.54y + 5.08z <= 126.09
-3.91x + -2.06y + -5.67z <= 583.5
6.21x + -9.71y + -7.82z <= 896.14
-8.4x + 5.69y + -5.79z <= 297.6
-1.93x + -0.02y + -9.96z <= 657.14
-7.21x + 9.49y + -5.0z <= 996.73
6.75x + 5.83y + -0.84z <= 781.03
5.25x + -4.65y + 3.05z <= 946.6
-7.72x + 6.81y + 3.65z <= 458.31
-9.94x + -3.75y + 0.27z <= 730.56
7.6x + -7.04y + 9.87z <= 291.86
-3.26x + 2.16y + 9.2z <= 385.32
-6.66x + -5.02y + -0.83z <= 832.93
-3.59x + -1.22y + 5.81z <= 283.07
6.63x + -4.76y + 4.63z <= 593.97
-9.4x + -5.47y + -2.84z <= 364.72
5.67x + -1.93y + 5.11z <= 655.26
-0.67x + -9.16y + 2.12z <= 500.95
8.42x + 0.3y + -9.92z <= 541.99
3.09x + 6.67y + 7.14z <= 447.42
-3.25x + 2.51y + -7.61z <= 480.33
-1.22x + 6.74y + 7.08z <= 503.74
-7.59x + 4.16y + -1.0z <= 226.74
-4.61x + 3.16y + -4.63z <= 866.99
-6.91x + 8.53y + 8.03z <= 611.93
-4.37x + 8.01y + -5.41z <= 830.25
-0.29x + 1.75y + -4.99z <= 750.36
-7.64x + 1.42y + 5.57z <= 495.53
8.67x + -1.76y + 5.93z <= 696.39
9.99x + -9.82y + -4.15z <= 852.0
-1.39x + 6.17y + -9.54z <= 431.29
-5.26x + -1.7y + -5.5z <= 805.64
-4.08x + -2.12y + 8.1z <= 364.84
-1.38x + 2.81y + -2.6z <= 849.25
-8.86x + -0.01y + 0.57z <= 423.26
-8.75x + -1.98y + -3.44z <= 202.57
5.85x + -8.31y + -3.77z <= 528.16
2.74x + 6.52y + 8.39z <= 293.92
2.45x + 0.46y + -1.66z <= 923.34
-0.27x + 4.46y + 3.14z <= 613.39
9.97x + 4.55y + 8.34z <= 565.77
-0.16x + -1.25y + 1.92z <= 237.69
7.08x + 8.64y + 2.22z <= 193.01
8.49x + -5.63y + -8.31z <= 704.76
7.35x + 1.06y + 9.18z <= 940.91
-2.89x + -2.75y + 7.01z <= 837.78
-8.68x + -2.33y + 7.8z <= 682.46
-2.77x + 2.74y + -1.26z <= 280.33
2.5x + 5.47y + 9.36z <= 911.36
2.41x + 4.87y + -2.54z <= 181.55
6.6x + -7.04y + -7.87z <= 472.65
-9.84x + -7.52y + 5.1z <= 300.34
-3.59x + 1.08y + -1.72z <= 468.73
-0.85x + 7.9y + -2.45z <= 876.62
7.82x + -7.6y + -9.35z <= 407.8
-5.6x + -3.35y + -4.12z <= 960.9
5.1x + 6.74y + -0.14z <= 703.52
-2.95x + 9.43y + -7.77z <= 437.03
-4.75x + 4.58y + -0.42z <= 394.31
5.57x + -5.47y + 0.63z <= 836.28
4.38x + -9.36y + -1.35z <= 178.44
-5.47x + -6.73y + -9.98z <= 587.53
0.04x + 2.69y + 6.15z <= 524.99
-9.57x + -5.89y + -5.03z <= 975.54
-4.07x + 3.76y + -4.21z <= 835.27
-8.57x + 1.41y + 7.99z <= 560.27
8.42x + 0.51y + -8.63z <= 108.54
3.66x + -8.27y + -2.86z <= 978.17
0.63x + -8.74y + -6.48z <= 787.43
-1.02x + 0.34y + -1.06z <= 583.6
4.02x + -6.31y + 7.46z <= 676.96
-8.85x + -2.48y + -5.42z <= 409.04
-0.48x + -5.08y + -8.84z <= 605.16
-9.19x + -2.83y + 0.63z <= 315.15
5.26x + -1.72y + -0.66z <= 728.83
-4.69x + -3.3y + 2.67z <= 419.37
1.35x + 7.1y + 6.75z <= 302.12
7.72x + -9.78y + -9.31z <= 836.6
-7.07x + 7.78y + -6.06z <= 792.94
-4.84x + -6.9y + 5.91z <= 597.92
3.83x + -8.5y + 2.35z <= 418.08
-7.24x + -2.05y + 8.68z <= 268.78
-0.62x + 6.31y + 2.34z <= 595.97
-3.11x + 2.07y + 5.77z <= 746.58
-0.81x + 1.67y + 1.45z <= 648.17
6.21x + 1.5y + -6.15z <= 412.25
9.51x + 6.67y + 4.55z <= 650.88
-1.97x + 6.49y + 2.65z <= 339.52
-7.28x + -1.59y + 3.35z <= 919.38
-2.69x + -3.31y + -9.22z <= 251.36
8.71x + 4.02y + 5.92z <= 870.5
-2.28x + 3.16y + 6.49z <= 508.87
-6.45x + -2.51y + -3.24z <= 433.98
6.92x + 1.54y + 5.44z <= 866.6
-6.56x + 6.9y + -0.54z <= 744.07
2.24x + -8.17y + -7.92z <= 453.88
-5.01x + -5.8y + 4.96z <= 855.29
3.26x + -3.56y + -0.69z <= 769.51
-3.29x + 1.9y + 8.88z <= 847.88
3.1x + -2.07y + -9.65z <= 872.95
5.01x + -1.49y + -4.19z <= 938.61
4.0x + -6.41y + -4.52z <= 951.59
-5.38x + 6.21y + 8.31z <= 679.7
-5.72x + 4.16y + 2.78z <= 430.72
1.9x + -7.08y + -9.75z <= 513.67
0.58x + -1.65y + -7.95z <= 688.02
1.87x + -1.96y + -4.51z <= 145.85
2.09x + 6.93y + -2.35z <= 702.86
0.25x + -4.41y + -4.3z <= 756.19
-8.85x + -5.62y + -4.66z <= 559.02
-5.45x + 7.15y + 0.95z <= 281.47
-6.21x + 4.7y + 2.21z <= 983.34
5.11x + -2.81y + -4.41z <= 506.76
3.57x + 5.27y + -8.86z <= 393.37
9.21x + 0.14y + 7.4z <= 678.61
0.57x + -9.86y + 3.73z <= 797.15
-1.05x + 5.68y + -5.51z <= 801.28
-9.32x + 6.64y + 1.7z <= 927.63
-6.42x + 9.7y + 1.23z <= 983.44
-3.74x + 4.16y + 6.64z <= 821.95
-8.68x + 2.19y + -5.43z <= 318.59
-9.56x + -6.0y + -4.98z <= 101.65
5.32x + -6.24y + -9.15z <= 941.41
2.64x + -2.32y + 7.74z <= 500.82
-5.09x + 2.91y + 5.01z <= 746.96
-3.95x + 7.31y + 1.8z <= 820.81
5.37x + 5.48y + -8.36z <= 635.86
8.13x + -6.42y + 1.98z <= 239.16
5.82x + -2.23y + 2.18z <= 544.01
5.25x + 6.08y + 9.98z <= 239.75
3.17x + 0.42y + 5.71z <= 336.81
-4.71x + -6.16y + 5.35z <= 259.56
-1.23x + -2.44y + 1.18z <= 522.06
-4.83x + 6.98y + 0.83z <= 580.61
7.85x + 6.27y + 3.5z <= 840.78
2.49x + -2.31y + 8.36z <= 339.17
0.41x + -6.13y + 1.55z <= 997.22
-9.38x + -3.33y + -4.08z <= 852.15
3.15x + -5.29y + -2.71z <= 976.54
6.05x + -9.33y + 3.82z <= 615.29
-8.57x + -3.49y + -0.57z <= 483.53
-9.96x + 0.04y + -3.43z <= 688.21
1.58x + 4.2y + -8.77z <= 806.57
-5.5x + 0.34y + 6.94z <= 901.08
-3.26x + 2.13y + -1.5z <= 195.13
5.66x + 8.98y + 7.57z <= 506.66
0.08x + -7.95y + -8.36z <= 997.51
-1.28x + -2.55y + 3.62z <= 766.25
6.04x + -0.24y + -6.33z <= 520.22
9.37x + 6.04y + 7.78z <= 849.5
6.26x + -6.53y + 1.46z <= 296.96
9.57x + 7.08y + -6.99z <= 741.81
0.43x + -6.27y + -6.34z <= 609.55
-4.24x + 7.59y + 2.65z <= 451.32
-5.04x + -5.64y + 1.04z <= 236.36
-2.15x + 3.47y + -8.07z <= 853.34
3.33x + 0.36y + -2.31z <= 152.45
0.48x + -9.98y + 6.15z <= 187.3
3.7x + 6.26y + 7.94z <= 734.34
-0.55x + 1.9y + 0.43z <= 228.72
-0.39x + 8.86y + -0.5z <= 841.54
7.95x + 3.12y + 9.93z <= 555.36
-1.42x + 1.67y + 9.58z <= 232.01
-1.94x + 2.73y + -4.85z <= 489.34
-2.94x + -4.52y + -7.55z <= 602.13
9.58x + 0.66y + 8.02z <= 347.02
1.14x + 4.33y + 9.59z <= 773.6
-0.37x + 9.81y + 2.15z <= 631.7
2.99x + 1.05y + -8.24z <= 219.45
-6.95x + 4.05y + -6.93z <= 672.84
0.34x + -0.83y + 8.85z <= 825.41
9.39x + 0.01y + 9.44z <= 486.24
-5.03x + -9.65y + 0.99z <= 343.53
8.35x + -7.68y + -7.24z <= 820.84
6.56x + -4.1y + 7.74z <= 353.35
-4.96x + 0.29y + -7.14z <= 484.82
0.28x + 9.61y + 7.53z <= 732.04
-1.12x + 4.28y + -9.52z <= 902.64
-4.75x + -6.73y + -9.49z <= 983.31
-6.03x + -4.25y + -9.88z <= 192.49
1.29x + 5.89y + 2.68z <= 713.08
-2.29x + -1.41y + -4.06z <= 770.28
2.4x + 7.96y + 2.57z <= 466.03
-3.09x + -1.88y + 3.63z <= 545.42
-7.64x + -2.24y + 8.01z <= 111.45
7.49x + 0.03y + 5.83z <= 474.76
-7.35x + 2.9y + 7.47z <= 203.81
-9.49x + -6.2y + -6.91z <= 674.49
9.55x + -9.29y + 4.72z <= 725.75
6.22x + 2.43y + -4.73z <= 901.25
8.04x + -1.0y + 4.43z <= 581.52
-3.93x + 1.24y + -0.75z <= 805.33
1.33x + -7.72y + 8.78z <= 237.78
-9.96x + 4.44y + -9.13z <= 778.87
9.83x + 7.9y + 2.22z <= 464.22
-4.93x + 9.26y + 9.16z <= 421.55
9.21x + -4.47y + 9.21z <= 680.02
-9.53x + 5.89y + -6.18z <= 261.39
4.57x + -5.42y + 9.86z <= 787.03
-3.9x + -5.97y + 4.83z <= 262.65
6.96x + -3.11y + 7.85z <= 470.32
-3.17x + -3.84y + -3.04z <= 893.64
7.21x + 8.47y + 4.53z <= 201.38
4.05x + 3.34y + 6.65z <= 561.88
7.59x + 7.14y + -5.85z <= 470.77
-1.7x + 6.07y + 1.38z <= 790.77
-1.09x + -7.66y + -2.04z <= 225.34
-1.92x + -1.76y + -5.31z <= 178.42
-5.13x + -5.45y + 6.12z <= 882.79
-7.3x + -6.56y + -8.13z <= 605.48
-7.23x + -4.85y + 3.23z <= 353.5
6.7x + 8.92y + -2.53z <= 894.13
-2.18x + -4.67y + -1.57z <= 919.56
6.44x + -4.8y + 3.52z <= 668.39
-6.06x + -9.98y + -7.22z <= 424.55
-0.51x + -4.16y + 8.12z <= 417.45
7.11x + 8.12y + 1.68z <= 905.35
-2.01x + 3.49y + -0.16z <= 882.09
8.91x + -3.56y + 4.02z <= 987.47
-2.7x + 3.44y + 4.35z <= 445.38
3.13x + 4.37y + -0.51z <= 853.48
-0.76x + 1.55y + -9.81z <= 292.52
5.81x + 2.7y + 6.57z <= 676.12
4.83x + -8.71y + -8.94z <= 468.75
-2.35x + -4.72y + 2.1z <= 679.07
0.26x + -7.13y + 2.29z <= 456.88
5.01x + 4.03y + 3.33z <= 603.53
6.68x + -0.11y + 4.28z <= 734.29
9.92x + 1.91y + -8.24z <= 833.43
8.95x + -9.72y + 6.48z <= 486.86
7.16x + -7.41y + 7.84z <= 127.28
9.5x + 3.91y + 2.48z <= 542.0
-7.47x + -9.65y + -5.52z <= 309.9
2.75x + 0.56y + 1.21z <= 390.04
0.1x + -8.0y + 6.93z <= 618.22
-4.13x + 9.04y + 7.29z <= 981.51
-7.61x + 1.35y + -6.84z <= 500.92
7.53x + 1.35y + -3.72z <= 286.67
-5.51x + -9.5y + 5.43z <= 158.49
0.52x + -6.43y + 4.25z <= 539.39
9.62x + 6.45y + 9.1z <= 541.54
-7.79x + 5.48y + 3.59z <= 963.25
-0.32x + -0.46y + -2.42z <= 804.81
3.14x + -3.11y + 5.21z <= 973.57
-6.89x + -0.66y + 6.84z <= 894.0
-1.45x + -5.02y + -1.97z <= 721.61
-6.28x + 3.19y + -5.76z <= 927.38
-6.44x + -0.66y + 4.71z <= 630.22
-4.87x + -4.54y + -0.75z <= 393.43
-7.98x + -4.59y + 3.8z <= 827.99
5.79x + -4.83y + 2.9z <= 806.18
-8.79x + -9.71y + -9.44z <= 703.52
-3.21x + 5.2y + 0.74z <= 770.32
0.55x + 0.76y + 3.14z <= 392.21
6.55x + 6.36y + 9.48z <= 522.7
-6.86x + -1.82y + 4.79z <= 933.18
3.95x + -0.94y + 9.87z <= 574.65
-9.55x + 5.06y + -1.86z <= 745.75
-4.11x + 2.75y + -1.07z <= 205.44
0.17x + 8.92y + -7.24z <= 776.83
-1.25x + 5.43y + 9.35z <= 126.86
8.84x + 9.87y + 8.25z <= 597.85
-2.97x + 9.84y + -9.7z <= 426.73
-6.44x + 8.13y + 2.06z <= 576.76
-9.07x + 4.25y + -6.47z <= 861.35
-7.77x + 3.28y + 4.56z <= 923.79
-6.67x + -7.13y + -8.89z <= 134.46
-1.26x + -1.86y + -7.2z <= 599.0
3.19x + -8.7y + 2.73z <= 779.22
-3.5x + 3.38y + 7.74z <= 301.73
5.44x + -9.34y + 5.06z <= 410.15
9.43x + -3.04y + -8.09z <= 773.49
-4.71x + -4.46y + -6.04z <= 467.87
0.42x + -2.69y + 3.66z <= 833.82
9.22x + 7.91y + -0.36z <= 226.06
0.28x + 1.76y + -8.05z <= 704.94
-5.11x + 0.31y + 1.85z <= 518.27
8.22x + -6.38y + 0.5z <= 534.6
5.97x + 9.96y + 6.12z <= 687.05
0.99x + -2.48y + -7.7z <= 672.31
8.38x + 1.27y + -9.72z <= 196.25
-0.77x + 7.02y + 9.74z <= 713.31
-5.03x + -2.81y + -0.5z <= 674.11
-0.89x + -3.15y + -4.27z <= 854.27
-6.34x + -6.5y + 8.21z <= 725.03
-4.17x + 9.87y + -7.17z <= 837.95
6.2x + -9.41y + -3.47z <= 761.81
0.46x + -1.75y + -4.56z <= 691.52
6.59x + 6.01y + -4.38z <= 700.22
6.81x + 2.63y + 0.28z <= 311.74
4.0x + 8.42y + -6.64z <= 590.38
-7.15x + 1.94y + 9.9z <= 158.9
-1.72x + 3.84y + 3.24z <= 546.66
3.39x + -0.1y + -8.23z <= 189.21
-1.75x + -2.33y + 6.12z <= 392.57
9.86x + -3.68y + 9.74z <= 459.01
8.11x + 0.62y + -6.82z <= 439.0
7.93x + 2.18y + -0.14z <= 963.08
0.78x + -6.38y + 6.98z <= 233.41
-2.47x + 2.48y + -8.61z <= 862.33
8.73x + -6.77y + 7.19z <= 462.04
3.97x + -3.0y + 5.39z <= 819.83
-5.69x + -7.91y + -7.03z <= 384.9
-1.55x + 8.4y + -8.18z <= 581.56
9.15x + 5.57y + -4.56z <= 493.24
3.62x + 8.2y + 0.86z <= 698.41
6.63x + 8.0y + -6.92z <= 628.89
2.01x + -3.72y + 8.54z <= 998.02
-9.94x + -6.73y + 6.44z <= 477.95
-7.94x + -4.72y + -7.91z <= 291.31
0.63x + -3.23y + 1.03z <= 239.02
4.61x + -0.4y + -5.24z <= 578.65
4.74x + 8.41y + 0.68z <= 935.75
-4.24x + -5.15y + 6.21z <= 365.62
6.88x + 9.98y + -2.28z <= 772.78
8.41x + -0.19y + 9.7z <= 607.56
-3.74x + 8.94y + -6.38z <= 988.34
-4.82x + 7.36y + 3.05z <= 510.6
8.69x + 4.96y + 4.69z <= 172.75
8.67x + 6.28y + -1.84z <= 647.73
0.07x + -1.31y + 3.45z <= 657.89
-1.27x + -7.39y + -6.22z <= 963.98
-7.71x + -8.18y + 1.44z <= 268.49
-5.19x + -2.07y + -5.59z <= 305.58
0.01x + 0.49y + 7.42z <= 238.88
-8.45x + -2.18y + 9.32z <= 726.92
5.25x + -6.35y + 4.94z <= 530.81
8.21x + -3.31y + 3.23z <= 659.93
4.9x + -9.83y + 3.01z <= 299.0
1.87x + -4.79y + -6.7z <= 733.19
-8.61x + 8.62y + 5.68z <= 177.87
-0.66x + -2.22y + -3.09z <= 155.59
-9.17x + 7.01y + 6.91z <= 980.32
-1.13x + -3.0y + -9.25z <= 813.08
7.88x + -4.27y + 0.62z <= 476.29
-5.1x + -5.64y + -2.28z <= 931.69
5.68x + 8.84y + -3.63z <= 368.34
-7.32x + -5.48y + 6.77z <= 103.21
-1.82x + -9.87y + 0.75z <= 205.57
1.57x + 0.59y + -1.36z <= 109.17
8.07x + 8.45y + -3.24z <= 907.89
-5.25x + -5.69y + 2.89z <= 747.25
-1.78x + -2.51y + -5.17z <= 927.09
-7.86x + 2.77y + 5.72z <= 674.37
-6.67x + 1.07y + -9.88z <= 458.09
-3.49x + -8.03y + 7.71z <= 767.59
-5.2x + 2.11y + 7.99z <= 814.01
-4.7x + 8.45y + -5.93z <= 725.77
7.23x + -6.4y + -8.78z <= 139.65
4.07x + 6.77y + 0.22z <= 845.76
-7.07x + -6.37y + 6.82z <= 841.11
-6.78x + 4.76y + -4.35z <= 873.26
5.23x + 0.78y + 0.71z <= 709.15
5.57x + -1.28y + -4.21z <= 769.26
-1.34x + 8.35y + -6.69z <= 377.58
-5.62x + -4.33y + -3.17z <= 271.92
-0.06x + 5.7y + 2.45z <= 349.4
-3.67x + 4.31y + 9.84z <= 902.93
2.57x + -2.07y + -7.52z <= 280.63
-4.42x + -1.21y + 9.1z <= 692.22
-0.94x + -2.43y + -3.12z <= 506.59
5.1x + -4.47y + 1.18z <= 184.26
3.65x + -4.65y + 9.41z <= 729.14
-6.74x + 0.89y + -0.57z <= 507.03
